Year,MonthNum,Date,fuel_group,new_private_cars
2016,7,2016-07-01,Battery Electric (BEV),38.0
2016,7,2016-07-01,Hybrid (HEV),486.0
2016,8,2016-08-01,Battery Electric (BEV),32.0
2016,8,2016-08-01,Diesel,6800.0
2016,8,2016-08-01,Hybrid (HEV),193.0
2016,8,2016-08-01,Other,0.0
2016,8,2016-08-01,Petrol,2723.0
2016,8,2016-08-01,Plug-in Hybrid (PHEV),33.0
2016,9,2016-09-01,Plug-in Hybrid (PHEV),36.0
2016,9,2016-09-01,Hybrid (HEV),97.0
2016,9,2016-09-01,Petrol,1618.0
2016,9,2016-09-01,Other,0.0
2016,9,2016-09-01,Battery Electric (BEV),11.0
2016,9,2016-09-01,Diesel,4080.0
2016,10,2016-10-01,Battery Electric (BEV),13.0
2016,10,2016-10-01,Diesel,2712.0
2016,10,2016-10-01,Hybrid (HEV),53.0
2016,10,2016-10-01,Other,0.0
2016,10,2016-10-01,Petrol,1038.0
2016,10,2016-10-01,Plug-in Hybrid (PHEV),15.0
2016,11,2016-11-01,Plug-in Hybrid (PHEV),5.0
2016,11,2016-11-01,Petrol,486.0
2016,11,2016-11-01,Other,0.0
2016,11,2016-11-01,Hybrid (HEV),72.0
2016,11,2016-11-01,Battery Electric (BEV),11.0
2016,11,2016-11-01,Diesel,1272.0
2016,12,2016-12-01,Battery Electric (BEV),0.0
2016,12,2016-12-01,Diesel,446.0
2016,12,2016-12-01,Hybrid (HEV),24.0
2016,12,2016-12-01,Other,0.0
2016,12,2016-12-01,Petrol,209.0
2016,12,2016-12-01,Plug-in Hybrid (PHEV),0.0
2017,1,2017-01-01,Plug-in Hybrid (PHEV),25.0
2017,1,2017-01-01,Petrol,8182.0
2017,1,2017-01-01,Other,0.0
2017,1,2017-01-01,Hybrid (HEV),998.0
2017,1,2017-01-01,Battery Electric (BEV),107.0
2017,1,2017-01-01,Diesel,17356.0
2017,2,2017-02-01,Battery Electric (BEV),89.0
2017,2,2017-02-01,Diesel,10962.0
2017,2,2017-02-01,Hybrid (HEV),610.0
2017,2,2017-02-01,Other,0.0
2017,2,2017-02-01,Petrol,5229.0
2017,2,2017-02-01,Plug-in Hybrid (PHEV),15.0
2017,3,2017-03-01,Plug-in Hybrid (PHEV),20.0
2017,3,2017-03-01,Hybrid (HEV),500.0
2017,3,2017-03-01,Petrol,4920.0
2017,3,2017-03-01,Battery Electric (BEV),49.0
2017,3,2017-03-01,Diesel,11691.0
2017,3,2017-03-01,Other,0.0
2017,4,2017-04-01,Battery Electric (BEV),80.0
2017,4,2017-04-01,Diesel,8946.0
2017,4,2017-04-01,Hybrid (HEV),322.0
2017,4,2017-04-01,Other,0.0
2017,4,2017-04-01,Petrol,4057.0
2017,4,2017-04-01,Plug-in Hybrid (PHEV),22.0
2017,5,2017-05-01,Other,0.0
2017,5,2017-05-01,Plug-in Hybrid (PHEV),13.0
2017,5,2017-05-01,Petrol,3226.0
2017,5,2017-05-01,Hybrid (HEV),260.0
2017,5,2017-05-01,Battery Electric (BEV),34.0
2017,5,2017-05-01,Diesel,6048.0
2017,6,2017-06-01,Battery Electric (BEV),12.0
2017,6,2017-06-01,Diesel,2393.0
2017,6,2017-06-01,Hybrid (HEV),91.0
2017,6,2017-06-01,Other,0.0
2017,6,2017-06-01,Petrol,1081.0
2017,6,2017-06-01,Plug-in Hybrid (PHEV),8.0
2017,7,2017-07-01,Plug-in Hybrid (PHEV),33.0
2017,7,2017-07-01,Petrol,7165.0
2017,7,2017-07-01,Other,0.0
2017,7,2017-07-01,Hybrid (HEV),888.0
2017,7,2017-07-01,Battery Electric (BEV),78.0
2017,7,2017-07-01,Diesel,13152.0
2017,8,2017-08-01,Battery Electric (BEV),65.0
2017,8,2017-08-01,Diesel,5247.0
2017,8,2017-08-01,Hybrid (HEV),286.0
2017,8,2017-08-01,Other,0.0
2017,8,2017-08-01,Petrol,2461.0
2017,8,2017-08-01,Plug-in Hybrid (PHEV),46.0
2017,9,2017-09-01,Plug-in Hybrid (PHEV),33.0
2017,9,2017-09-01,Petrol,1427.0
2017,9,2017-09-01,Other,0.0
2017,9,2017-09-01,Hybrid (HEV),162.0
2017,9,2017-09-01,Diesel,3156.0
2017,9,2017-09-01,Battery Electric (BEV),50.0
2017,10,2017-10-01,Battery Electric (BEV),35.0
2017,10,2017-10-01,Diesel,2116.0
2017,10,2017-10-01,Hybrid (HEV),115.0
2017,10,2017-10-01,Other,0.0
2017,10,2017-10-01,Petrol,960.0
2017,10,2017-10-01,Plug-in Hybrid (PHEV),29.0
2017,11,2017-11-01,Plug-in Hybrid (PHEV),14.0
2017,11,2017-11-01,Petrol,492.0
2017,11,2017-11-01,Other,0.0
2017,11,2017-11-01,Hybrid (HEV),38.0
2017,11,2017-11-01,Diesel,1031.0
2017,11,2017-11-01,Battery Electric (BEV),19.0
2017,12,2017-12-01,Battery Electric (BEV),5.0
2017,12,2017-12-01,Diesel,394.0
2017,12,2017-12-01,Hybrid (HEV),10.0
2017,12,2017-12-01,Other,0.0
2017,12,2017-12-01,Petrol,191.0
2017,12,2017-12-01,Plug-in Hybrid (PHEV),1.0
2018,1,2018-01-01,Plug-in Hybrid (PHEV),73.0
2018,1,2018-01-01,Petrol,9437.0
