Year,county,fuel_type,car_stock
2020,Donegal,Other fuel types,1512
2020,Donegal,Petrol,20216
2020,Dublin,Diesel,244098
2020,Dublin,Other fuel types,34839
2020,Dublin,Petrol,278007
2020,Galway,Diesel,75062
2020,Galway,Other fuel types,4149
2020,Galway,Petrol,40915
2020,Kerry,Diesel,45094
2020,Kerry,Other fuel types,1732
2020,Kerry,Petrol,28136
2020,Kildare,Diesel,64718
2020,Kildare,Other fuel types,4406
2020,Kildare,Petrol,41227
2020,Kilkenny,Diesel,30098
2020,Kilkenny,Other fuel types,1130
2020,Kilkenny,Petrol,15523
2020,Laois,Diesel,25468
2020,Laois,Other fuel types,847
2020,Laois,Petrol,10818
2020,Leitrim,Diesel,10742
2020,Leitrim,Other fuel types,255
2020,Leitrim,Petrol,4410
2020,Limerick,Diesel,54419
2020,Limerick,Other fuel types,2332
2020,Limerick,Petrol,35625
2020,Longford,Diesel,12664
2020,Longford,Other fuel types,463
2020,Longford,Petrol,5060
2020,Louth,Diesel,33584
2020,Louth,Other fuel types,1743
2020,Louth,Petrol,19492
2020,Mayo,Diesel,42497
2020,Mayo,Other fuel types,1223
2020,Mayo,Petrol,19550
2020,Meath,Diesel,60194
2020,Meath,Other fuel types,3537
2020,Meath,Petrol,31619
2020,Monaghan,Diesel,19933
2020,Monaghan,Other fuel types,490
2020,Monaghan,Petrol,6907
2020,Offaly,Diesel,24713
2020,Offaly,Other fuel types,899
2020,Offaly,Petrol,10541
2020,Roscommon,Diesel,21833
2020,Roscommon,Other fuel types,666
2020,Roscommon,Petrol,10191
2020,Sligo,Diesel,18964
2020,Sligo,Other fuel types,724
2020,Sligo,Petrol,10622
2020,Tipperary,Diesel,54751
2020,Tipperary,Other fuel types,1746
2020,Tipperary,Petrol,26890
2020,Waterford,Diesel,33389
2020,Waterford,Other fuel types,1445
2020,Waterford,Petrol,24915
2020,Westmeath,Diesel,29417
2020,Westmeath,Other fuel types,1334
2020,Westmeath,Petrol,12464
2020,Wexford,Diesel,51428
2020,Wexford,Other fuel types,1913
2020,Wexford,Petrol,25875
2020,Wicklow,Diesel,38523
2020,Wicklow,Other fuel types,3051
2020,Wicklow,Petrol,30497
2021,Carlow,Diesel,20335
2021,Carlow,Other fuel types,999
2021,Carlow,Petrol,8922
2021,Cavan,Diesel,25050
2021,Cavan,Other fuel types,1160
2021,Cavan,Petrol,8860
2021,Clare,Diesel,38394
2021,Clare,Other fuel types,2223
2021,Clare,Petrol,20389
2021,Cork,Diesel,153186
2021,Cork,Other fuel types,12880
2021,Cork,Petrol,108537
2021,Donegal,Diesel,48064
2021,Donegal,Other fuel types,2262
2021,Donegal,Petrol,19688
2021,Dublin,Diesel,243873
2021,Dublin,Other fuel types,49334
2021,Dublin,Petrol,269331
2021,Galway,Diesel,77418
2021,Galway,Other fuel types,5782
2021,Galway,Petrol,39073
2021,Kerry,Diesel,47091
2021,Kerry,Other fuel types,2437
2021,Kerry,Petrol,26736
2021,Kildare,Diesel,66051
2021,Kildare,Other fuel types,6410
2021,Kildare,Petrol,40446
2021,Kilkenny,Diesel,31174
2021,Kilkenny,Other fuel types,1665
2021,Kilkenny,Petrol,14897
2021,Laois,Diesel,26357
2021,Laois,Other fuel types,1282
2021,Laois,Petrol,10261
2021,Leitrim,Diesel,11204
2021,Leitrim,Other fuel types,384
2021,Leitrim,Petrol,4268
2021,Limerick,Diesel,56226
2021,Limerick,Other fuel types,3445
2021,Limerick,Petrol,34099
2021,Longford,Diesel,13195
2021,Longford,Other fuel types,652
2021,Longford,Petrol,4743
2021,Louth,Diesel,33994
2021,Louth,Other fuel types,2582
2021,Louth,Petrol,19236
2021,Mayo,Diesel,44323
2021,Mayo,Other fuel types,1798
2021,Mayo,Petrol,18460
2021,Meath,Diesel,61628
2021,Meath,Other fuel types,5187
2021,Meath,Petrol,30808
2021,Monaghan,Diesel,20598
2021,Monaghan,Other fuel types,687
2021,Monaghan,Petrol,6638
2021,Offaly,Diesel,25747
2021,Offaly,Other fuel types,1286
2021,Offaly,Petrol,9976
2021,Roscommon,Diesel,22599
2021,Roscommon,Other fuel types,1015
2021,Roscommon,Petrol,9692
2021,Sligo,Diesel,19587
2021,Sligo,Other fuel types,1089
2021,Sligo,Petrol,10176
2021,Tipperary,Diesel,57005
2021,Tipperary,Other fuel types,2635
2021,Tipperary,Petrol,25249
2021,Waterford,Diesel,34030
2021,Waterford,Other fuel types,2133
2021,Waterford,Petrol,24122
2021,Westmeath,Diesel,30299
2021,Westmeath,Other fuel types,1863
2021,Westmeath,Petrol,11800
2021,Wexford,Diesel,53218
2021,Wexford,Other fuel types,2740
2021,Wexford,Petrol,24562
2021,Wicklow,Diesel,39474
2021,Wicklow,Other fuel types,4268
2021,Wicklow,Petrol,29633
2022,Carlow,Diesel,20202
2022,Carlow,Other fuel types,1466
2022,Carlow,Petrol,8669
2022,Cavan,Diesel,24878
2022,Cavan,Other fuel types,1699
2022,Cavan,Petrol,8493
2022,Clare,Diesel,38272
2022,Clare,Other fuel types,3221
2022,Clare,Petrol,19854
2022,Cork,Diesel,151959
2022,Cork,Other fuel types,18465
2022,Cork,Petrol,106027
2022,Donegal,Diesel,47638
2022,Donegal,Other fuel types,3262
2022,Donegal,Petrol,19218
2022,Dublin,Diesel,236451
2022,Dublin,Other fuel types,67602
2022,Dublin,Petrol,263068
2022,Galway,Diesel,77625
2022,Galway,Other fuel types,8018
2022,Galway,Petrol,38047
2022,Kerry,Diesel,47815
2022,Kerry,Other fuel types,3413
2022,Kerry,Petrol,25752
2022,Kildare,Diesel,65531
2022,Kildare,Other fuel types,9268
2022,Kildare,Petrol,40206
2022,Kilkenny,Diesel,31055
2022,Kilkenny,Other fuel types,2405
2022,Kilkenny,Petrol,14598
2022,Laois,Diesel,26358
2022,Laois,Other fuel types,1872
2022,Laois,Petrol,10073
2022,Leitrim,Diesel,11176
2022,Leitrim,Other fuel types,578
2022,Leitrim,Petrol,4159
2022,Limerick,Diesel,56021
2022,Limerick,Other fuel types,5002
2022,Limerick,Petrol,32960
2022,Longford,Diesel,13195
2022,Longford,Other fuel types,859
2022,Longford,Petrol,4586
2022,Louth,Diesel,33227
2022,Louth,Other fuel types,3658
2022,Louth,Petrol,19210
2022,Mayo,Diesel,44475
2022,Mayo,Other fuel types,2629
2022,Mayo,Petrol,17718
2022,Meath,Diesel,60801
2022,Meath,Other fuel types,7426
2022,Meath,Petrol,30460
2022,Monaghan,Diesel,20531
2022,Monaghan,Other fuel types,986
2022,Monaghan,Petrol,6426
2022,Offaly,Diesel,25799
2022,Offaly,Other fuel types,1780
2022,Offaly,Petrol,9654
2022,Roscommon,Diesel,22819
2022,Roscommon,Other fuel types,1546
2022,Roscommon,Petrol,10089
2022,Sligo,Diesel,19528
2022,Sligo,Other fuel types,1569
2022,Sligo,Petrol,9855
2022,Tipperary,Diesel,57058
2022,Tipperary,Other fuel types,3810
2022,Tipperary,Petrol,24299
2022,Waterford,Diesel,33993
2022,Waterford,Other fuel types,3097
2022,Waterford,Petrol,23864
2022,Westmeath,Diesel,30191
2022,Westmeath,Other fuel types,2521
2022,Westmeath,Petrol,11453
2022,Wexford,Diesel,53385
2022,Wexford,Other fuel types,3959
2022,Wexford,Petrol,24181
2022,Wicklow,Diesel,38616
2022,Wicklow,Other fuel types,5827
2022,Wicklow,Petrol,28749
2023,Carlow,Diesel,20303
2023,Carlow,Other fuel types,1966
2023,Carlow,Petrol,8824
2023,Cavan,Diesel,24852
2023,Cavan,Other fuel types,2328
2023,Cavan,Petrol,8599
2023,Clare,Diesel,38203
2023,Clare,Other fuel types,4409
2023,Clare,Petrol,19862
2023,Cork,Diesel,150181
2023,Cork,Other fuel types,24520
2023,Cork,Petrol,106119
2023,Donegal,Diesel,47650
2023,Donegal,Other fuel types,4366
2023,Donegal,Petrol,19367
2023,Dublin,Diesel,226726
2023,Dublin,Other fuel types,87142
2023,Dublin,Petrol,261665
2023,Galway,Diesel,78028
2023,Galway,Other fuel types,10484
2023,Galway,Petrol,38393
2023,Kerry,Diesel,48458
2023,Kerry,Other fuel types,4562
2023,Kerry,Petrol,25589
2023,Kildare,Diesel,64744
2023,Kildare,Other fuel types,12487
2023,Kildare,Petrol,41064
2023,Kilkenny,Diesel,31136
2023,Kilkenny,Other fuel types,3280
2023,Kilkenny,Petrol,14529
2023,Laois,Diesel,26741
2023,Laois,Other fuel types,2449
2023,Laois,Petrol,10291
2023,Leitrim,Diesel,11349
2023,Leitrim,Other fuel types,772
2023,Leitrim,Petrol,4133
2023,Limerick,Diesel,55785
2023,Limerick,Other fuel types,6895
2023,Limerick,Petrol,32770
2023,Longford,Diesel,13258
2023,Longford,Other fuel types,1136
2023,Longford,Petrol,4591
2023,Louth,Diesel,32554
2023,Louth,Other fuel types,4972
2023,Louth,Petrol,20048
2023,Mayo,Diesel,44927
2023,Mayo,Other fuel types,3478
2023,Mayo,Petrol,17554
2023,Meath,Diesel,59855
2023,Meath,Other fuel types,9991
2023,Meath,Petrol,31355
2023,Monaghan,Diesel,20587
2023,Monaghan,Other fuel types,1302
2023,Monaghan,Petrol,6549
2023,Offaly,Diesel,26004
2023,Offaly,Other fuel types,2320
2023,Offaly,Petrol,9674
2023,Roscommon,Diesel,23215
2023,Roscommon,Other fuel types,2268
2023,Roscommon,Petrol,11001
2023,Sligo,Diesel,19596
2023,Sligo,Other fuel types,2095
2023,Sligo,Petrol,9906
2023,Tipperary,Diesel,57132
2023,Tipperary,Other fuel types,5064
2023,Tipperary,Petrol,24294
2023,Waterford,Diesel,33998
2023,Waterford,Other fuel types,4243
2023,Waterford,Petrol,24554
2023,Westmeath,Diesel,30362
2023,Westmeath,Other fuel types,3317
2023,Westmeath,Petrol,11576
2023,Wexford,Diesel,53877
2023,Wexford,Other fuel types,5439
2023,Wexford,Petrol,24467
2023,Wicklow,Diesel,37837
2023,Wicklow,Other fuel types,7566
2023,Wicklow,Petrol,28527
