AtcoCode,CommonName,Street,stop_category,StopType,Latitude,Longitude,Easting,Northing,AdministrativeAreaRef,Status
8360LL10538,Kilbaha,,Bus stop,BCT,52.569483,-9.863019,473710,648095,836,active
8360LL10539,Loop Head,,Bus stop,BCT,52.560875,-9.930123,469136,647257,836,active
8360LL10907,Kilrush,,Bus stop,BCT,52.6368429,-9.487848,499295,654998,836,active
8360LL10908,Aldi Kilrush,,Bus stop,BCT,52.640972,-9.48255,499663,655450,836,active
8360LL10909,Cree,,Bus stop,BCT,52.746,-9.430272,503433,667063,836,active
8360LL10910,Lissycasey,,Bus stop,BCT,52.748626,-9.148221,522480,667014,836,active
8360LL10845,Ennis Friars Walk,,Bus stop,BCT,52.843964,-8.981158,533903,677454,836,active
8360LL10512,Dulick Enterprise Centre,,Bus stop,BCT,52.860954,-8.980382,533981,679344,836,active
8360LL10513,Knock,,Bus stop,BCT,52.62884,-9.331713,509846,653901,836,active
8360LL10514,Moneypoint,,Bus stop,BCT,52.61141,-9.43567,502770,652097,836,active
8360LL10515,Vandeleur Garden,,Bus stop,BCT,52.6314,-9.47651,500050,654377,836,active
8360LL10516,Killimer Ferry,,Bus stop,BCT,52.615087,-9.381676,506434,652435,836,active
8360LL10517,Kilmurry McMahon,,Bus stop,BCT,52.65289,-9.303002,511838,656541,836,active
8360LL10518,Cranny,,Bus stop,BCT,52.69296,-9.22394,517263,660905,836,active
8360LL10519,Ballycorick,,Bus stop,BCT,52.733456,-9.062162,528265,665237,836,active
8360LL10520,Newhall Cross,,Bus stop,BCT,52.7997956,-9.0151661,531543,672572,836,active
8360LL10521,St.Flannan's College,,Bus stop,BCT,52.8343455,-8.9820886,533826,676385,836,active
8360LL10522,Clare Marts,Quin Road,Bus stop,BCT,52.839096,-8.971518,534545,676904,836,active
8360LL10523,Clonroad Business Park,,Bus stop,BCT,52.843784,-8.975399,534291,677429,836,active
8360LL10524,Education Centre,,Bus stop,BCT,52.8627205,-8.9832044,533794,679543,836,active
8360LL10525,Station Court,,Bus stop,BCT,52.8401388,-8.977128,534169,677025,836,active
8360LL10526,Ennis Hospital,,Bus stop,BCT,52.85062,-8.981357,533900,678195,836,active
8360LL10527,Mill Road,,Bus stop,BCT,52.843935,-8.988644,533399,677458,836,active
8360LL10528,Considine Terrace,,Bus stop,BCT,52.845243,-8.990262,533292,677605,836,active
8360LL10529,Collins Park,,Bus stop,BCT,52.83696,-8.98939,533338,676683,836,active
836000001,Knockerry West,,Bus stop,BCT,52.658168,-9.398643,505379,657250,836,active
836000002,Doonaha,,Bus stop,BCT,52.623408,-9.646563,488519,653737,836,active
