Year,ev_phev_share,electrified_share,total,ev_phev_pct
2015,0.0049376599785319,0.0168276773181405,121110.0,0.4938
2016,0.00475583205924,0.0222150199744946,141931.0,0.4756
2017,0.006942421976465,0.040631272383801,127045.0,0.6942
2018,0.0159875203248677,0.0707099053294485,121157.0,1.5988
2019,0.0420458055690393,0.12658752923525,113305.0,4.2046
2020,0.0752232857702024,0.1968235894151276,84309.0,7.5223
2021,0.1588563910734097,0.3359253041147536,101853.0,15.8856
2022,0.2260407108111574,0.4224708679908041,101349.0,22.6041
