Year,WeekNum,total_pt_journeys,covid_flag
2019,1,2485489.0,0
2019,2,3343343.0,0
2019,3,3462775.0,0
2019,4,3534486.0,0
2019,5,3597261.0,0
2019,6,3676533.0,0
2019,7,3790304.0,0
2019,8,3604972.0,0
2019,9,3695468.0,0
2019,10,3783653.0,0
2019,11,3729482.0,0
2019,12,3407670.0,0
2019,13,3886607.0,0
2019,14,3812412.0,0
2019,15,3818948.0,0
2019,16,3360396.0,0
2019,17,3136749.0,0
2019,18,3718637.0,0
2019,19,3370829.0,0
2019,20,3652188.0,0
2019,21,3639363.0,0
2019,22,3581722.0,0
2019,23,3209364.0,0
2019,24,3514291.0,0
2019,25,3507550.0,0
2019,26,3527023.0,0
2019,27,3658417.0,0
2019,28,3667128.0,0
2019,29,3596712.0,0
2019,30,3653142.0,0
2019,31,3405876.0,0
2019,32,3164567.0,0
2019,33,3422765.0,0
2019,34,3482725.0,0
2019,35,3567603.0,0
2019,36,3743607.0,0
2019,37,3929875.0,0
2019,38,4010829.0,0
2019,39,4018232.0,0
2019,40,3915759.0,0
2019,41,4067984.0,0
2019,42,4044491.0,0
2019,43,3995255.0,0
2019,44,3364007.0,0
2019,45,3906365.0,0
2019,46,3990724.0,0
2019,47,3964812.0,0
2019,48,4045954.0,0
2019,49,3989075.0,0
2019,50,4040078.0,0
2019,51,4067125.0,0
2019,52,1996529.0,0
2020,1,3192321.0,1
2020,2,4382560.0,1
2020,3,4526156.0,1
2020,4,4783243.0,1
2020,5,4926739.0,1
2020,6,4894762.0,1
2020,7,4736640.0,1
2020,8,4729113.0,1
2020,9,4830525.0,1
2020,10,4710632.0,1
2020,11,3944434.0,1
2020,12,1645435.0,1
2020,13,814041.0,1
2020,14,477460.0,1
2020,15,489022.0,1
2020,16,475208.0,1
2020,17,542368.0,1
2020,18,574916.0,1
2020,19,598160.0,1
2020,20,671396.0,1
2020,21,851294.0,1
2020,22,1010073.0,1
2020,23,988184.0,1
2020,24,1243833.0,1
2020,25,1425917.0,1
2020,26,1509519.0,1
2020,27,1782679.0,1
2020,28,1902485.0,1
2020,29,1942958.0,1
2020,30,1990648.0,1
2020,31,2065797.0,1
2020,32,2021031.0,1
2020,33,2082565.0,1
2020,34,1982956.0,1
2020,35,2124360.0,1
2020,36,2331634.0,1
2020,37,2416690.0,1
2020,38,2335157.0,1
2020,39,2245838.0,1
2020,40,2209598.0,1
2020,41,2236078.0,1
2020,42,2181853.0,1
2020,43,1814876.0,1
2020,44,1191582.0,1
2020,45,1635147.0,1
2020,46,1637010.0,1
2020,47,1707528.0,1
2020,48,1742985.0,1
2020,49,2289748.0,1
2020,50,2435121.0,1
2020,51,2512500.0,1
2020,52,1533410.0,1
2021,1,1039290.0,1
2021,2,1009862.0,1
2021,3,1009170.0,1
2021,4,1025401.0,1
2021,5,1098464.0,1
2021,6,1070818.0,1
2021,7,1175040.0,1
2021,8,1230680.0,1
2021,9,1330175.0,1
2021,10,1318491.0,1
2021,11,1354709.0,1
2021,12,1424746.0,1
2021,13,1440498.0,1
2021,14,1294761.0,1
2021,15,1709088.0,1
2021,16,1818478.0,1
2021,17,1765624.0,1
2021,18,1599881.0,1
2021,19,1983801.0,1
2021,20,2136594.0,1
2021,21,2347824.0,1
2021,22,2359340.0,1
2021,23,2316503.0,1
2021,24,2441224.0,1
2021,25,2423476.0,1
2021,26,2432684.0,1
2021,27,2360325.0,1
2021,28,2545306.0,1
2021,29,2561063.0,1
2021,30,2432424.0,1
2021,31,2306444.0,1
2021,32,2496868.0,1
2021,33,2511576.0,1
2021,34,2747138.0,1
2021,35,2801552.0,1
2021,36,2901167.0,1
2021,37,2971358.0,1
2021,38,3194001.0,1
2021,39,3321597.0,1
2021,40,3372318.0,1
2021,41,3386179.0,1
2021,42,3332179.0,1
2021,43,2757221.0,1
2021,44,3397163.0,1
2021,45,3421352.0,1
2021,46,3326874.0,1
2021,47,3198288.0,1
2021,48,3138144.0,1
2021,49,2806513.0,1
2021,50,3236799.0,1
2021,51,2171645.0,1
2021,52,1632579.0,1
2022,1,2059797.0,0
2022,2,2612333.0,0
2022,3,2885771.0,0
2022,4,3113728.0,0
2022,5,3267226.0,0
2022,6,3282180.0,0
2022,7,3143569.0,0
2022,8,3181580.0,0
2022,9,3596399.0,0
2022,10,3380613.0,0
2022,11,3242343.0,0
2022,12,3639309.0,0
2022,13,3565301.0,0
2022,14,3648475.0,0
2022,15,3380695.0,0
2022,16,3390227.0,0
2022,17,3737583.0,0
2022,18,3614874.0,0
2022,19,3621404.0,0
2022,20,3773400.0,0
2022,21,3783761.0,0
2022,22,3838230.0,0
2022,23,3692053.0,0
2022,24,3705819.0,0
2022,25,3909012.0,0
2022,26,3821006.0,0
2022,27,3912598.0,0
2022,28,3945159.0,0
2022,29,3886252.0,0
2022,30,3777200.0,0
2022,31,3686936.0,0
2022,32,4046046.0,0
2022,33,3951286.0,0
2022,34,4087816.0,0
2022,35,4071888.0,0
2022,36,4252098.0,0
2022,37,4596312.0,0
2022,38,4652651.0,0
2022,39,4819510.0,0
2022,40,4870433.0,0
2022,41,4830259.0,0
2022,42,4787076.0,0
2022,43,4849608.0,0
2022,44,4227620.0,0
2022,45,4882932.0,0
2022,46,4948048.0,0
2022,47,4797072.0,0
2022,48,4810091.0,0
2022,49,4746525.0,0
2022,50,4656099.0,0
2022,51,4023247.0,0
2022,52,3730211.0,0
