Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Petrol,Co. Westmeath,Other vehicles,All years,Number,308
Vehicle Population,2018,Petrol,Co. Wexford,Private cars,All years,Number,29236
Vehicle Population,2018,Petrol,Co. Wexford,Goods vehicles,All years,Number,20
Vehicle Population,2018,Petrol,Co. Wexford,Motor cycles,All years,Number,1502
Vehicle Population,2018,Petrol,Co. Wexford,Tractors & Machinery,All years,Number,7
Vehicle Population,2018,Petrol,Co. Wexford,Small PSVs,All years,Number,16
Vehicle Population,2018,Petrol,Co. Wexford,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Wexford,Exempt vehicles,All years,Number,153
Vehicle Population,2018,Petrol,Co. Wexford,Other vehicles,All years,Number,887
Vehicle Population,2018,Petrol,Co. Wicklow,Private cars,All years,Number,32848
Vehicle Population,2018,Petrol,Co. Wicklow,Goods vehicles,All years,Number,36
Vehicle Population,2018,Petrol,Co. Wicklow,Motor cycles,All years,Number,1549
Vehicle Population,2018,Petrol,Co. Wicklow,Tractors & Machinery,All years,Number,4
Vehicle Population,2018,Petrol,Co. Wicklow,Small PSVs,All years,Number,31
Vehicle Population,2018,Petrol,Co. Wicklow,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Wicklow,Exempt vehicles,All years,Number,161
Vehicle Population,2018,Petrol,Co. Wicklow,Other vehicles,All years,Number,1127
Vehicle Population,2018,Petrol,Co. Clare,Private cars,All years,Number,24058
Vehicle Population,2018,Petrol,Co. Clare,Goods vehicles,All years,Number,12
Vehicle Population,2018,Petrol,Co. Clare,Motor cycles,All years,Number,921
Vehicle Population,2018,Petrol,Co. Clare,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Petrol,Co. Clare,Small PSVs,All years,Number,43
Vehicle Population,2018,Petrol,Co. Clare,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Clare,Exempt vehicles,All years,Number,207
Vehicle Population,2018,Petrol,Co. Clare,Other vehicles,All years,Number,650
Vehicle Population,2018,Petrol,Co. Cork,Private cars,All years,Number,121229
Vehicle Population,2018,Petrol,Co. Cork,Goods vehicles,All years,Number,103
Vehicle Population,2018,Petrol,Co. Cork,Motor cycles,All years,Number,5441
Vehicle Population,2018,Petrol,Co. Cork,Tractors & Machinery,All years,Number,37
Vehicle Population,2018,Petrol,Co. Cork,Small PSVs,All years,Number,165
Vehicle Population,2018,Petrol,Co. Cork,Large PSVs,All years,Number,1
