Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2022,Petrol,Co. Waterford,Other vehicles,All years,Number,817
Vehicle Population,2022,Petrol,Co. Galway,Private cars,All years,Number,38047
Vehicle Population,2022,Petrol,Co. Galway,Goods vehicles,All years,Number,39
Vehicle Population,2022,Petrol,Co. Galway,Motor cycles,All years,Number,1799
Vehicle Population,2022,Petrol,Co. Galway,Tractors & Machinery,All years,Number,46
Vehicle Population,2022,Petrol,Co. Galway,Small PSVs,All years,Number,42
Vehicle Population,2022,Petrol,Co. Galway,Large PSVs,All years,Number,1
Vehicle Population,2022,Petrol,Co. Galway,Exempt vehicles,All years,Number,309
Vehicle Population,2022,Petrol,Co. Galway,Other vehicles,All years,Number,1320
Vehicle Population,2022,Petrol,Co. Leitrim,Private cars,All years,Number,4159
Vehicle Population,2022,Petrol,Co. Leitrim,Goods vehicles,All years,Number,5
Vehicle Population,2022,Petrol,Co. Leitrim,Motor cycles,All years,Number,209
Vehicle Population,2022,Petrol,Co. Leitrim,Tractors & Machinery,All years,Number,3
Vehicle Population,2022,Petrol,Co. Leitrim,Small PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Leitrim,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Leitrim,Exempt vehicles,All years,Number,51
Vehicle Population,2022,Petrol,Co. Leitrim,Other vehicles,All years,Number,237
Vehicle Population,2022,Petrol,Co. Mayo,Private cars,All years,Number,17718
Vehicle Population,2022,Petrol,Co. Mayo,Goods vehicles,All years,Number,19
Vehicle Population,2022,Petrol,Co. Mayo,Motor cycles,All years,Number,852
Vehicle Population,2022,Petrol,Co. Mayo,Tractors & Machinery,All years,Number,15
Vehicle Population,2022,Petrol,Co. Mayo,Small PSVs,All years,Number,6
Vehicle Population,2022,Petrol,Co. Mayo,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Mayo,Exempt vehicles,All years,Number,188
Vehicle Population,2022,Petrol,Co. Mayo,Other vehicles,All years,Number,652
Vehicle Population,2022,Petrol,Co. Roscommon,Private cars,All years,Number,10089
Vehicle Population,2022,Petrol,Co. Roscommon,Goods vehicles,All years,Number,11
Vehicle Population,2022,Petrol,Co. Roscommon,Motor cycles,All years,Number,398
Vehicle Population,2022,Petrol,Co. Roscommon,Tractors & Machinery,All years,Number,8
Vehicle Population,2022,Petrol,Co. Roscommon,Small PSVs,All years,Number,2
Vehicle Population,2022,Petrol,Co. Roscommon,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Roscommon,Exempt vehicles,All years,Number,65
Vehicle Population,2022,Petrol,Co. Roscommon,Other vehicles,All years,Number,373
Vehicle Population,2022,Petrol,Co. Sligo,Private cars,All years,Number,9854
Vehicle Population,2022,Petrol,Co. Sligo,Goods vehicles,All years,Number,4
Vehicle Population,2022,Petrol,Co. Sligo,Motor cycles,All years,Number,502
Vehicle Population,2022,Petrol,Co. Sligo,Tractors & Machinery,All years,Number,24
Vehicle Population,2022,Petrol,Co. Sligo,Small PSVs,All years,Number,8
Vehicle Population,2022,Petrol,Co. Sligo,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Sligo,Exempt vehicles,All years,Number,110
Vehicle Population,2022,Petrol,Co. Sligo,Other vehicles,All years,Number,411
Vehicle Population,2022,Petrol,Co. Cavan,Private cars,All years,Number,8494
Vehicle Population,2022,Petrol,Co. Cavan,Goods vehicles,All years,Number,8
Vehicle Population,2022,Petrol,Co. Cavan,Motor cycles,All years,Number,599
Vehicle Population,2022,Petrol,Co. Cavan,Tractors & Machinery,All years,Number,40
Vehicle Population,2022,Petrol,Co. Cavan,Small PSVs,All years,Number,3
Vehicle Population,2022,Petrol,Co. Cavan,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Cavan,Exempt vehicles,All years,Number,56
Vehicle Population,2022,Petrol,Co. Cavan,Other vehicles,All years,Number,458
Vehicle Population,2022,Petrol,Co. Donegal,Private cars,All years,Number,19218
Vehicle Population,2022,Petrol,Co. Donegal,Goods vehicles,All years,Number,32
Vehicle Population,2022,Petrol,Co. Donegal,Motor cycles,All years,Number,913
Vehicle Population,2022,Petrol,Co. Donegal,Tractors & Machinery,All years,Number,11
Vehicle Population,2022,Petrol,Co. Donegal,Small PSVs,All years,Number,3
Vehicle Population,2022,Petrol,Co. Donegal,Large PSVs,All years,Number,2
Vehicle Population,2022,Petrol,Co. Donegal,Exempt vehicles,All years,Number,156
Vehicle Population,2022,Petrol,Co. Donegal,Other vehicles,All years,Number,1110
Vehicle Population,2022,Petrol,Co. Monaghan,Private cars,All years,Number,6426
Vehicle Population,2022,Petrol,Co. Monaghan,Goods vehicles,All years,Number,12
Vehicle Population,2022,Petrol,Co. Monaghan,Motor cycles,All years,Number,397
Vehicle Population,2022,Petrol,Co. Monaghan,Tractors & Machinery,All years,Number,4
Vehicle Population,2022,Petrol,Co. Monaghan,Small PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Monaghan,Large PSVs,All years,Number,0
Vehicle Population,2022,Petrol,Co. Monaghan,Exempt vehicles,All years,Number,38
Vehicle Population,2022,Petrol,Co. Monaghan,Other vehicles,All years,Number,346
Vehicle Population,2022,Diesel,Co. Carlow,Private cars,All years,Number,20202
Vehicle Population,2022,Diesel,Co. Carlow,Goods vehicles,All years,Number,6041
Vehicle Population,2022,Diesel,Co. Carlow,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Carlow,Tractors & Machinery,All years,Number,1854
Vehicle Population,2022,Diesel,Co. Carlow,Small PSVs,All years,Number,106
Vehicle Population,2022,Diesel,Co. Carlow,Large PSVs,All years,Number,161
Vehicle Population,2022,Diesel,Co. Carlow,Exempt vehicles,All years,Number,248
Vehicle Population,2022,Diesel,Co. Carlow,Other vehicles,All years,Number,964
Vehicle Population,2022,Diesel,Co. Dublin,Private cars,All years,Number,236450
Vehicle Population,2022,Diesel,Co. Dublin,Goods vehicles,All years,Number,87148
Vehicle Population,2022,Diesel,Co. Dublin,Motor cycles,All years,Number,26
Vehicle Population,2022,Diesel,Co. Dublin,Tractors & Machinery,All years,Number,1760
Vehicle Population,2022,Diesel,Co. Dublin,Small PSVs,All years,Number,6335
Vehicle Population,2022,Diesel,Co. Dublin,Large PSVs,All years,Number,3118
Vehicle Population,2022,Diesel,Co. Dublin,Exempt vehicles,All years,Number,7917
Vehicle Population,2022,Diesel,Co. Dublin,Other vehicles,All years,Number,4686
Vehicle Population,2022,Diesel,Co. Kildare,Private cars,All years,Number,65531
Vehicle Population,2022,Diesel,Co. Kildare,Goods vehicles,All years,Number,17842
Vehicle Population,2022,Diesel,Co. Kildare,Motor cycles,All years,Number,8
Vehicle Population,2022,Diesel,Co. Kildare,Tractors & Machinery,All years,Number,2642
Vehicle Population,2022,Diesel,Co. Kildare,Small PSVs,All years,Number,509
Vehicle Population,2022,Diesel,Co. Kildare,Large PSVs,All years,Number,449
Vehicle Population,2022,Diesel,Co. Kildare,Exempt vehicles,All years,Number,697
Vehicle Population,2022,Diesel,Co. Kildare,Other vehicles,All years,Number,1867
Vehicle Population,2022,Diesel,Co. Kilkenny,Private cars,All years,Number,31055
Vehicle Population,2022,Diesel,Co. Kilkenny,Goods vehicles,All years,Number,8692
Vehicle Population,2022,Diesel,Co. Kilkenny,Motor cycles,All years,Number,1
Vehicle Population,2022,Diesel,Co. Kilkenny,Tractors & Machinery,All years,Number,3864
Vehicle Population,2022,Diesel,Co. Kilkenny,Small PSVs,All years,Number,176
Vehicle Population,2022,Diesel,Co. Kilkenny,Large PSVs,All years,Number,375
Vehicle Population,2022,Diesel,Co. Kilkenny,Exempt vehicles,All years,Number,434
Vehicle Population,2022,Diesel,Co. Kilkenny,Other vehicles,All years,Number,1336
Vehicle Population,2022,Diesel,Co. Laois,Private cars,All years,Number,26359
Vehicle Population,2022,Diesel,Co. Laois,Goods vehicles,All years,Number,6442
Vehicle Population,2022,Diesel,Co. Laois,Motor cycles,All years,Number,3
Vehicle Population,2022,Diesel,Co. Laois,Tractors & Machinery,All years,Number,2995
Vehicle Population,2022,Diesel,Co. Laois,Small PSVs,All years,Number,151
Vehicle Population,2022,Diesel,Co. Laois,Large PSVs,All years,Number,228
Vehicle Population,2022,Diesel,Co. Laois,Exempt vehicles,All years,Number,289
Vehicle Population,2022,Diesel,Co. Laois,Other vehicles,All years,Number,1028
Vehicle Population,2022,Diesel,Co. Longford,Private cars,All years,Number,13194
Vehicle Population,2022,Diesel,Co. Longford,Goods vehicles,All years,Number,4310
Vehicle Population,2022,Diesel,Co. Longford,Motor cycles,All years,Number,1
Vehicle Population,2022,Diesel,Co. Longford,Tractors & Machinery,All years,Number,1293
Vehicle Population,2022,Diesel,Co. Longford,Small PSVs,All years,Number,70
Vehicle Population,2022,Diesel,Co. Longford,Large PSVs,All years,Number,128
Vehicle Population,2022,Diesel,Co. Longford,Exempt vehicles,All years,Number,219
Vehicle Population,2022,Diesel,Co. Longford,Other vehicles,All years,Number,818
Vehicle Population,2022,Diesel,Co. Louth,Private cars,All years,Number,33227
Vehicle Population,2022,Diesel,Co. Louth,Goods vehicles,All years,Number,8498
Vehicle Population,2022,Diesel,Co. Louth,Motor cycles,All years,Number,6
Vehicle Population,2022,Diesel,Co. Louth,Tractors & Machinery,All years,Number,1130
Vehicle Population,2022,Diesel,Co. Louth,Small PSVs,All years,Number,397
Vehicle Population,2022,Diesel,Co. Louth,Large PSVs,All years,Number,225
Vehicle Population,2022,Diesel,Co. Louth,Exempt vehicles,All years,Number,422
Vehicle Population,2022,Diesel,Co. Louth,Other vehicles,All years,Number,841
Vehicle Population,2022,Diesel,Co. Meath,Private cars,All years,Number,60801
Vehicle Population,2022,Diesel,Co. Meath,Goods vehicles,All years,Number,16601
Vehicle Population,2022,Diesel,Co. Meath,Motor cycles,All years,Number,5
Vehicle Population,2022,Diesel,Co. Meath,Tractors & Machinery,All years,Number,3202
Vehicle Population,2022,Diesel,Co. Meath,Small PSVs,All years,Number,674
Vehicle Population,2022,Diesel,Co. Meath,Large PSVs,All years,Number,398
Vehicle Population,2022,Diesel,Co. Meath,Exempt vehicles,All years,Number,545
Vehicle Population,2022,Diesel,Co. Meath,Other vehicles,All years,Number,1746
Vehicle Population,2022,Diesel,Co. Offaly,Private cars,All years,Number,25800
Vehicle Population,2022,Diesel,Co. Offaly,Goods vehicles,All years,Number,6899
Vehicle Population,2022,Diesel,Co. Offaly,Motor cycles,All years,Number,3
Vehicle Population,2022,Diesel,Co. Offaly,Tractors & Machinery,All years,Number,2555
Vehicle Population,2022,Diesel,Co. Offaly,Small PSVs,All years,Number,114
Vehicle Population,2022,Diesel,Co. Offaly,Large PSVs,All years,Number,241
Vehicle Population,2022,Diesel,Co. Offaly,Exempt vehicles,All years,Number,261
Vehicle Population,2022,Diesel,Co. Offaly,Other vehicles,All years,Number,1631
Vehicle Population,2022,Diesel,Co. Westmeath,Private cars,All years,Number,30190
Vehicle Population,2022,Diesel,Co. Westmeath,Goods vehicles,All years,Number,8509
Vehicle Population,2022,Diesel,Co. Westmeath,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Westmeath,Tractors & Machinery,All years,Number,2136
Vehicle Population,2022,Diesel,Co. Westmeath,Small PSVs,All years,Number,202
Vehicle Population,2022,Diesel,Co. Westmeath,Large PSVs,All years,Number,136
Vehicle Population,2022,Diesel,Co. Westmeath,Exempt vehicles,All years,Number,281
Vehicle Population,2022,Diesel,Co. Westmeath,Other vehicles,All years,Number,1274
Vehicle Population,2022,Diesel,Co. Wexford,Private cars,All years,Number,53385
Vehicle Population,2022,Diesel,Co. Wexford,Goods vehicles,All years,Number,14795
Vehicle Population,2022,Diesel,Co. Wexford,Motor cycles,All years,Number,3
Vehicle Population,2022,Diesel,Co. Wexford,Tractors & Machinery,All years,Number,4752
Vehicle Population,2022,Diesel,Co. Wexford,Small PSVs,All years,Number,173
Vehicle Population,2022,Diesel,Co. Wexford,Large PSVs,All years,Number,316
Vehicle Population,2022,Diesel,Co. Wexford,Exempt vehicles,All years,Number,545
Vehicle Population,2022,Diesel,Co. Wexford,Other vehicles,All years,Number,2845
Vehicle Population,2022,Diesel,Co. Wicklow,Private cars,All years,Number,38617
Vehicle Population,2022,Diesel,Co. Wicklow,Goods vehicles,All years,Number,10066
Vehicle Population,2022,Diesel,Co. Wicklow,Motor cycles,All years,Number,3
Vehicle Population,2022,Diesel,Co. Wicklow,Tractors & Machinery,All years,Number,1848
Vehicle Population,2022,Diesel,Co. Wicklow,Small PSVs,All years,Number,223
Vehicle Population,2022,Diesel,Co. Wicklow,Large PSVs,All years,Number,260
Vehicle Population,2022,Diesel,Co. Wicklow,Exempt vehicles,All years,Number,429
Vehicle Population,2022,Diesel,Co. Wicklow,Other vehicles,All years,Number,1593
Vehicle Population,2022,Diesel,Co. Clare,Private cars,All years,Number,38272
Vehicle Population,2022,Diesel,Co. Clare,Goods vehicles,All years,Number,9484
Vehicle Population,2022,Diesel,Co. Clare,Motor cycles,All years,Number,3
Vehicle Population,2022,Diesel,Co. Clare,Tractors & Machinery,All years,Number,2967
Vehicle Population,2022,Diesel,Co. Clare,Small PSVs,All years,Number,297
Vehicle Population,2022,Diesel,Co. Clare,Large PSVs,All years,Number,262
Vehicle Population,2022,Diesel,Co. Clare,Exempt vehicles,All years,Number,494
Vehicle Population,2022,Diesel,Co. Clare,Other vehicles,All years,Number,2153
Vehicle Population,2022,Diesel,Co. Cork,Private cars,All years,Number,151959
Vehicle Population,2022,Diesel,Co. Cork,Goods vehicles,All years,Number,43582
Vehicle Population,2022,Diesel,Co. Cork,Motor cycles,All years,Number,19
Vehicle Population,2022,Diesel,Co. Cork,Tractors & Machinery,All years,Number,11547
Vehicle Population,2022,Diesel,Co. Cork,Small PSVs,All years,Number,1241
Vehicle Population,2022,Diesel,Co. Cork,Large PSVs,All years,Number,843
Vehicle Population,2022,Diesel,Co. Cork,Exempt vehicles,All years,Number,2222
Vehicle Population,2022,Diesel,Co. Cork,Other vehicles,All years,Number,6741
Vehicle Population,2022,Diesel,Co. Kerry,Private cars,All years,Number,47815
Vehicle Population,2022,Diesel,Co. Kerry,Goods vehicles,All years,Number,12604
Vehicle Population,2022,Diesel,Co. Kerry,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Kerry,Tractors & Machinery,All years,Number,4251
Vehicle Population,2022,Diesel,Co. Kerry,Small PSVs,All years,Number,421
Vehicle Population,2022,Diesel,Co. Kerry,Large PSVs,All years,Number,480
Vehicle Population,2022,Diesel,Co. Kerry,Exempt vehicles,All years,Number,577
Vehicle Population,2022,Diesel,Co. Kerry,Other vehicles,All years,Number,3079
Vehicle Population,2022,Diesel,Co. Limerick,Private cars,All years,Number,56021
Vehicle Population,2022,Diesel,Co. Limerick,Goods vehicles,All years,Number,14159
Vehicle Population,2022,Diesel,Co. Limerick,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Limerick,Tractors & Machinery,All years,Number,3789
Vehicle Population,2022,Diesel,Co. Limerick,Small PSVs,All years,Number,430
Vehicle Population,2022,Diesel,Co. Limerick,Large PSVs,All years,Number,306
Vehicle Population,2022,Diesel,Co. Limerick,Exempt vehicles,All years,Number,756
Vehicle Population,2022,Diesel,Co. Limerick,Other vehicles,All years,Number,2445
Vehicle Population,2022,Diesel,Co. Tipperary,Private cars,All years,Number,57058
Vehicle Population,2022,Diesel,Co. Tipperary,Goods vehicles,All years,Number,14999
Vehicle Population,2022,Diesel,Co. Tipperary,Motor cycles,All years,Number,5
Vehicle Population,2022,Diesel,Co. Tipperary,Tractors & Machinery,All years,Number,5837
Vehicle Population,2022,Diesel,Co. Tipperary,Small PSVs,All years,Number,219
Vehicle Population,2022,Diesel,Co. Tipperary,Large PSVs,All years,Number,437
Vehicle Population,2022,Diesel,Co. Tipperary,Exempt vehicles,All years,Number,678
Vehicle Population,2022,Diesel,Co. Tipperary,Other vehicles,All years,Number,2526
Vehicle Population,2022,Diesel,Co. Waterford,Private cars,All years,Number,33992
Vehicle Population,2022,Diesel,Co. Waterford,Goods vehicles,All years,Number,8371
Vehicle Population,2022,Diesel,Co. Waterford,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Waterford,Tractors & Machinery,All years,Number,2317
Vehicle Population,2022,Diesel,Co. Waterford,Small PSVs,All years,Number,222
Vehicle Population,2022,Diesel,Co. Waterford,Large PSVs,All years,Number,196
Vehicle Population,2022,Diesel,Co. Waterford,Exempt vehicles,All years,Number,426
Vehicle Population,2022,Diesel,Co. Waterford,Other vehicles,All years,Number,1454
Vehicle Population,2022,Diesel,Co. Galway,Private cars,All years,Number,77626
Vehicle Population,2022,Diesel,Co. Galway,Goods vehicles,All years,Number,20868
Vehicle Population,2022,Diesel,Co. Galway,Motor cycles,All years,Number,4
Vehicle Population,2022,Diesel,Co. Galway,Tractors & Machinery,All years,Number,5210
Vehicle Population,2022,Diesel,Co. Galway,Small PSVs,All years,Number,689
Vehicle Population,2022,Diesel,Co. Galway,Large PSVs,All years,Number,701
Vehicle Population,2022,Diesel,Co. Galway,Exempt vehicles,All years,Number,1548
Vehicle Population,2022,Diesel,Co. Galway,Other vehicles,All years,Number,4403
Vehicle Population,2022,Diesel,Co. Leitrim,Private cars,All years,Number,11176
Vehicle Population,2022,Diesel,Co. Leitrim,Goods vehicles,All years,Number,3777
Vehicle Population,2022,Diesel,Co. Leitrim,Motor cycles,All years,Number,0
Vehicle Population,2022,Diesel,Co. Leitrim,Tractors & Machinery,All years,Number,972
Vehicle Population,2022,Diesel,Co. Leitrim,Small PSVs,All years,Number,50
Vehicle Population,2022,Diesel,Co. Leitrim,Large PSVs,All years,Number,123
Vehicle Population,2022,Diesel,Co. Leitrim,Exempt vehicles,All years,Number,169
Vehicle Population,2022,Diesel,Co. Leitrim,Other vehicles,All years,Number,741
Vehicle Population,2022,Diesel,Co. Mayo,Private cars,All years,Number,44474
Vehicle Population,2022,Diesel,Co. Mayo,Goods vehicles,All years,Number,13642
Vehicle Population,2022,Diesel,Co. Mayo,Motor cycles,All years,Number,0
Vehicle Population,2022,Diesel,Co. Mayo,Tractors & Machinery,All years,Number,4731
Vehicle Population,2022,Diesel,Co. Mayo,Small PSVs,All years,Number,205
Vehicle Population,2022,Diesel,Co. Mayo,Large PSVs,All years,Number,372
Vehicle Population,2022,Diesel,Co. Mayo,Exempt vehicles,All years,Number,842
Vehicle Population,2022,Diesel,Co. Mayo,Other vehicles,All years,Number,2158
Vehicle Population,2022,Diesel,Co. Roscommon,Private cars,All years,Number,22820
Vehicle Population,2022,Diesel,Co. Roscommon,Goods vehicles,All years,Number,6534
Vehicle Population,2022,Diesel,Co. Roscommon,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Roscommon,Tractors & Machinery,All years,Number,2384
Vehicle Population,2022,Diesel,Co. Roscommon,Small PSVs,All years,Number,97
Vehicle Population,2022,Diesel,Co. Roscommon,Large PSVs,All years,Number,137
Vehicle Population,2022,Diesel,Co. Roscommon,Exempt vehicles,All years,Number,348
Vehicle Population,2022,Diesel,Co. Roscommon,Other vehicles,All years,Number,1582
Vehicle Population,2022,Diesel,Co. Sligo,Private cars,All years,Number,19528
Vehicle Population,2022,Diesel,Co. Sligo,Goods vehicles,All years,Number,6535
Vehicle Population,2022,Diesel,Co. Sligo,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Sligo,Tractors & Machinery,All years,Number,1542
Vehicle Population,2022,Diesel,Co. Sligo,Small PSVs,All years,Number,129
Vehicle Population,2022,Diesel,Co. Sligo,Large PSVs,All years,Number,126
Vehicle Population,2022,Diesel,Co. Sligo,Exempt vehicles,All years,Number,306
Vehicle Population,2022,Diesel,Co. Sligo,Other vehicles,All years,Number,1332
Vehicle Population,2022,Diesel,Co. Cavan,Private cars,All years,Number,24879
Vehicle Population,2022,Diesel,Co. Cavan,Goods vehicles,All years,Number,8837
Vehicle Population,2022,Diesel,Co. Cavan,Motor cycles,All years,Number,2
Vehicle Population,2022,Diesel,Co. Cavan,Tractors & Machinery,All years,Number,2764
Vehicle Population,2022,Diesel,Co. Cavan,Small PSVs,All years,Number,124
Vehicle Population,2022,Diesel,Co. Cavan,Large PSVs,All years,Number,182
Vehicle Population,2022,Diesel,Co. Cavan,Exempt vehicles,All years,Number,291
Vehicle Population,2022,Diesel,Co. Cavan,Other vehicles,All years,Number,1122
Vehicle Population,2022,Diesel,Co. Donegal,Private cars,All years,Number,47639
Vehicle Population,2022,Diesel,Co. Donegal,Goods vehicles,All years,Number,16341
Vehicle Population,2022,Diesel,Co. Donegal,Motor cycles,All years,Number,1
Vehicle Population,2022,Diesel,Co. Donegal,Tractors & Machinery,All years,Number,3227
Vehicle Population,2022,Diesel,Co. Donegal,Small PSVs,All years,Number,270
Vehicle Population,2022,Diesel,Co. Donegal,Large PSVs,All years,Number,640
Vehicle Population,2022,Diesel,Co. Donegal,Exempt vehicles,All years,Number,694
Vehicle Population,2022,Diesel,Co. Donegal,Other vehicles,All years,Number,3219
Vehicle Population,2022,Diesel,Co. Monaghan,Private cars,All years,Number,20531
Vehicle Population,2022,Diesel,Co. Monaghan,Goods vehicles,All years,Number,8734
Vehicle Population,2022,Diesel,Co. Monaghan,Motor cycles,All years,Number,1
Vehicle Population,2022,Diesel,Co. Monaghan,Tractors & Machinery,All years,Number,1759
Vehicle Population,2022,Diesel,Co. Monaghan,Small PSVs,All years,Number,62
Vehicle Population,2022,Diesel,Co. Monaghan,Large PSVs,All years,Number,258
Vehicle Population,2022,Diesel,Co. Monaghan,Exempt vehicles,All years,Number,208
Vehicle Population,2022,Diesel,Co. Monaghan,Other vehicles,All years,Number,878
Vehicle Population,2022,Other fuel types,Co. Carlow,Private cars,All years,Number,1465
Vehicle Population,2022,Other fuel types,Co. Carlow,Goods vehicles,All years,Number,13
Vehicle Population,2022,Other fuel types,Co. Carlow,Motor cycles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Carlow,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Carlow,Small PSVs,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Carlow,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Carlow,Exempt vehicles,All years,Number,17
Vehicle Population,2022,Other fuel types,Co. Carlow,Other vehicles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Dublin,Private cars,All years,Number,67602
Vehicle Population,2022,Other fuel types,Co. Dublin,Goods vehicles,All years,Number,1898
Vehicle Population,2022,Other fuel types,Co. Dublin,Motor cycles,All years,Number,92
Vehicle Population,2022,Other fuel types,Co. Dublin,Tractors & Machinery,All years,Number,6
Vehicle Population,2022,Other fuel types,Co. Dublin,Small PSVs,All years,Number,2592
Vehicle Population,2022,Other fuel types,Co. Dublin,Large PSVs,All years,Number,241
Vehicle Population,2022,Other fuel types,Co. Dublin,Exempt vehicles,All years,Number,867
Vehicle Population,2022,Other fuel types,Co. Dublin,Other vehicles,All years,Number,19
Vehicle Population,2022,Other fuel types,Co. Kildare,Private cars,All years,Number,9268
Vehicle Population,2022,Other fuel types,Co. Kildare,Goods vehicles,All years,Number,95
Vehicle Population,2022,Other fuel types,Co. Kildare,Motor cycles,All years,Number,10
Vehicle Population,2022,Other fuel types,Co. Kildare,Tractors & Machinery,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Kildare,Small PSVs,All years,Number,136
Vehicle Population,2022,Other fuel types,Co. Kildare,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Kildare,Exempt vehicles,All years,Number,73
Vehicle Population,2022,Other fuel types,Co. Kildare,Other vehicles,All years,Number,13
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Private cars,All years,Number,2405
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Goods vehicles,All years,Number,13
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Motor cycles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Tractors & Machinery,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Small PSVs,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Exempt vehicles,All years,Number,36
Vehicle Population,2022,Other fuel types,Co. Kilkenny,Other vehicles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Laois,Private cars,All years,Number,1870
Vehicle Population,2022,Other fuel types,Co. Laois,Goods vehicles,All years,Number,9
Vehicle Population,2022,Other fuel types,Co. Laois,Motor cycles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Laois,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Laois,Small PSVs,All years,Number,35
Vehicle Population,2022,Other fuel types,Co. Laois,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Laois,Exempt vehicles,All years,Number,28
Vehicle Population,2022,Other fuel types,Co. Laois,Other vehicles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Longford,Private cars,All years,Number,858
Vehicle Population,2022,Other fuel types,Co. Longford,Goods vehicles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Longford,Motor cycles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Longford,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Longford,Small PSVs,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Longford,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Longford,Exempt vehicles,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Longford,Other vehicles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Louth,Private cars,All years,Number,3657
Vehicle Population,2022,Other fuel types,Co. Louth,Goods vehicles,All years,Number,19
Vehicle Population,2022,Other fuel types,Co. Louth,Motor cycles,All years,Number,5
Vehicle Population,2022,Other fuel types,Co. Louth,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Louth,Small PSVs,All years,Number,108
Vehicle Population,2022,Other fuel types,Co. Louth,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Louth,Exempt vehicles,All years,Number,86
Vehicle Population,2022,Other fuel types,Co. Louth,Other vehicles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Meath,Private cars,All years,Number,7426
Vehicle Population,2022,Other fuel types,Co. Meath,Goods vehicles,All years,Number,46
Vehicle Population,2022,Other fuel types,Co. Meath,Motor cycles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Meath,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Meath,Small PSVs,All years,Number,149
Vehicle Population,2022,Other fuel types,Co. Meath,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Meath,Exempt vehicles,All years,Number,95
Vehicle Population,2022,Other fuel types,Co. Meath,Other vehicles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Offaly,Private cars,All years,Number,1780
Vehicle Population,2022,Other fuel types,Co. Offaly,Goods vehicles,All years,Number,5
Vehicle Population,2022,Other fuel types,Co. Offaly,Motor cycles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Offaly,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Offaly,Small PSVs,All years,Number,12
Vehicle Population,2022,Other fuel types,Co. Offaly,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Offaly,Exempt vehicles,All years,Number,31
Vehicle Population,2022,Other fuel types,Co. Offaly,Other vehicles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Westmeath,Private cars,All years,Number,2521
