STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2025,25 - 44 years,Female,Thousand,761.8
Population Estimates (Persons in April),2025,30 - 34 years,Male,Thousand,169.4
Population Estimates (Persons in April),2025,30 - 34 years,Female,Thousand,174.7
Population Estimates (Persons in April),2025,35 - 39 years,Male,Thousand,184.7
Population Estimates (Persons in April),2025,35 - 39 years,Female,Thousand,199.4
Population Estimates (Persons in April),2025,40 - 44 years,Male,Thousand,209.7
Population Estimates (Persons in April),2025,40 - 44 years,Female,Thousand,225.8
Population Estimates (Persons in April),2025,45 - 49 years,Male,Thousand,199.8
Population Estimates (Persons in April),2025,45 - 49 years,Female,Thousand,207.3
Population Estimates (Persons in April),2025,45 - 64 years,Male,Thousand,694.3
Population Estimates (Persons in April),2025,45 - 64 years,Female,Thousand,712.9
Population Estimates (Persons in April),2025,50 - 54 years,Male,Thousand,183.8
Population Estimates (Persons in April),2025,50 - 54 years,Female,Thousand,186.7
Population Estimates (Persons in April),2025,55 - 59 years,Male,Thousand,162.8
Population Estimates (Persons in April),2025,55 - 59 years,Female,Thousand,165.1
Population Estimates (Persons in April),2025,60 - 64 years,Male,Thousand,147.8
Population Estimates (Persons in April),2025,60 - 64 years,Female,Thousand,153.8
Population Estimates (Persons in April),2025,65 - 69 years,Male,Thousand,125.8
Population Estimates (Persons in April),2025,65 - 69 years,Female,Thousand,131.4
Population Estimates (Persons in April),2025,65 years and over,Male,Thousand,406.2
Population Estimates (Persons in April),2025,65 years and over,Female,Thousand,454.9
Population Estimates (Persons in April),2025,70 - 74 years,Male,Thousand,106.8
Population Estimates (Persons in April),2025,70 - 74 years,Female,Thousand,112.5
Population Estimates (Persons in April),2025,75 - 79 years,Male,Thousand,84.3
Population Estimates (Persons in April),2025,75 - 79 years,Female,Thousand,91.9
Population Estimates (Persons in April),2025,80 - 84 years,Male,Thousand,51.6
Population Estimates (Persons in April),2025,80 - 84 years,Female,Thousand,60.9
Population Estimates (Persons in April),2025,85 years and over,Male,Thousand,37.7
Population Estimates (Persons in April),2025,85 years and over,Female,Thousand,58.3
