STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2019,30 - 34 years,Female,Thousand,172.2
Population Estimates (Persons in April),2019,35 - 39 years,Male,Thousand,192.9
Population Estimates (Persons in April),2019,35 - 39 years,Female,Thousand,206.6
Population Estimates (Persons in April),2019,40 - 44 years,Male,Thousand,187.2
Population Estimates (Persons in April),2019,40 - 44 years,Female,Thousand,194.1
Population Estimates (Persons in April),2019,45 - 49 years,Male,Thousand,176.6
Population Estimates (Persons in April),2019,45 - 49 years,Female,Thousand,177.8
Population Estimates (Persons in April),2019,45 - 64 years,Male,Thousand,601.4
Population Estimates (Persons in April),2019,45 - 64 years,Female,Thousand,610.3
Population Estimates (Persons in April),2019,50 - 54 years,Male,Thousand,156
Population Estimates (Persons in April),2019,50 - 54 years,Female,Thousand,157.4
Population Estimates (Persons in April),2019,55 - 59 years,Male,Thousand,142.1
Population Estimates (Persons in April),2019,55 - 59 years,Female,Thousand,146
Population Estimates (Persons in April),2019,60 - 64 years,Male,Thousand,126.8
Population Estimates (Persons in April),2019,60 - 64 years,Female,Thousand,129.1
Population Estimates (Persons in April),2019,65 - 69 years,Male,Thousand,109.5
Population Estimates (Persons in April),2019,65 - 69 years,Female,Thousand,112.1
Population Estimates (Persons in April),2019,65 years and over,Male,Thousand,329.1
Population Estimates (Persons in April),2019,65 years and over,Female,Thousand,372.3
Population Estimates (Persons in April),2019,70 - 74 years,Male,Thousand,91.3
Population Estimates (Persons in April),2019,70 - 74 years,Female,Thousand,95.8
Population Estimates (Persons in April),2019,75 - 79 years,Male,Thousand,61.9
Population Estimates (Persons in April),2019,75 - 79 years,Female,Thousand,68.4
Population Estimates (Persons in April),2019,80 - 84 years,Male,Thousand,39.1
Population Estimates (Persons in April),2019,80 - 84 years,Female,Thousand,49.1
Population Estimates (Persons in April),2019,85 years and over,Male,Thousand,27.2
Population Estimates (Persons in April),2019,85 years and over,Female,Thousand,46.9
Population Estimates (Persons in April),2020,Under 1 year,Male,Thousand,29.8
Population Estimates (Persons in April),2020,Under 1 year,Female,Thousand,28.3
Population Estimates (Persons in April),2020,0 - 4 years,Male,Thousand,158.8
Population Estimates (Persons in April),2020,0 - 4 years,Female,Thousand,150
