,AtcoCode,PlateCode,CommonName,ShortCommonName,CommonNameGA,ShortCommonNameGA,Indicator,Street,NptgLocalityRef,GridType,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Status,CreationDateTime,ModificationDateTime
13281,841000007,,Loughmore Avenue,Loughmore Ave,Ascaill an Locha Mhóir,Asc an Locha Mhóir,,,E0841813,ITM,555138,651955,52.616982,-8.66249,BCT,CUS,OTH,N,,841,active,2020-02-11T00:00:00.000,2025-02-10T12:26:09.001
13282,841000037,,Effin Idle Hour Bar,Effin Idle Hour Bar,,,,,E0841378,ITM,559765,619992,52.330068,-8.590309,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13283,841000076,13394,Croom Hospital,Croom Hospital,Ospidéal Chromadh,Ospidéal Chromadh,,,E0411794,ITM,551668,641991,52.527134,-8.712276,BCT,CUS,OTH,N,,841,active,2022-09-27T00:00:00.000,2025-05-13T11:19:29.809
13284,8410B3321301,332131,Kilcornan,Kilcornan,Cill Churnáin,Cill Churnáin,,N69,E0841032,ITM,540539,652302,52.618699,-8.878116,BCT,CUS,OTH,W,841G000133,841,active,1969-12-31T00:00:00.000,2025-09-22T08:44:01.000
13285,8410B3373101,337311,Eastlink Business Park,Eastlink BP,Páirc Ghnó an Náscbhóthair Thoir,PG an Náscbhr Thoir,,N24,E0411534,ITM,560332,655638,52.650487,-8.586236,BCT,CUS,OTH,E,841G000227,841,active,1969-12-31T00:00:00.000,2025-02-10T12:26:09.001
13286,8410B3501101,350111,Pallasgreen,Pallasgreen,Pailís Ghréine,Pailís Ghréine,,N24,E0841056,ITM,577105,646322,52.567723,-8.337717,BCT,MKD,OTH,NW,841G000310,841,active,1969-12-31T00:00:00.000,2025-01-30T15:04:08.001
13287,8410B6094201,609421,Brookfield Hall,Brookfield Hall,Brookfield Hall,Brookfield Hall,,,E0841095,ITM,561068,656607,52.6592491,-8.5754735,BCT,MKD,OTH,N,841G000374,841,active,1969-12-31T00:00:00.000,2019-07-19T14:02:16.000
13288,8410B6094801,609481,Caisleán na hAbhann,Caisleán na hAbhann,Caisleán na hAbhann,Caisleán na hAbhann,,,E0841095,ITM,561199,656222,52.655798,-8.573492,BCT,MKD,OTH,S,841G000393,841,active,1969-12-31T00:00:00.000,2026-05-27T18:07:31.974
13289,8410B609751,609751,Fox Hollow,Fox Hollow,Log an tSionnaigh,Log an tSionnaigh,,,E0841095,ITM,561774,656065,52.654428,-8.564975,BCT,MKD,OTH,N,,841,active,2016-09-16T00:00:00.000,2025-11-12T16:49:27.536
13290,8410B609771,609771,Caisleán Nua,Caisleán Nua,Caisleán Nua,Caisleán Nua,,Caisleán Nua,E0841095,ITM,561478,657067,52.66341,-8.56946,BCT,CUS,OTH,N,,841,active,2016-09-16T00:00:00.000,2025-08-21T16:15:40.283
13291,8410B609791,609791,Raheen Ind Est,Raheen Ind Est,Eastát Tionsclaíochta Ráithín,East Tions Ráithín,,,E0841302,ITM,555488,652148,52.618745,-8.657348,BCT,CUS,OTH,N,,841,active,2018-10-09T00:00:00.000,2025-09-22T08:44:01.000
13292,8410B607941,607941,Ballycummin Road,Ballycummin Road,Bóthar Bailecoimin,Bóthar Bailecoimin,,,E0841302,ITM,555821,652859,52.625162,-8.652525,BCT,CUS,OTH,N,,841,active,2019-08-19T00:00:00.000,2026-03-11T11:19:15.001
