Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Clare,All years,Number,12548
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Cork,All years,Number,52022
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Donegal,All years,Number,17216
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Dublin,All years,Number,90238
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Galway,All years,Number,29169
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Kerry,All years,Number,15603
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Kildare,All years,Number,22421
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Kilkenny,All years,Number,10140
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Laois,All years,Number,8630
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Leitrim,All years,Number,4461
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Limerick,All years,Number,18872
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Longford,All years,Number,5143
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Louth,All years,Number,11230
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Mayo,All years,Number,16901
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Meath,All years,Number,21101
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Monaghan,All years,Number,7668
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Offaly,All years,Number,8712
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Roscommon,All years,Number,8285
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Sligo,All years,Number,7415
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Tipperary,All years,Number,19803
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Waterford,All years,Number,11354
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Westmeath,All years,Number,10737
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Wexford,All years,Number,16965
Vehicle Population,2021,All owners,1801 - 2000 cc,Diesel,Co. Wicklow,All years,Number,13673
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Carlow,All years,Number,100
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Cavan,All years,Number,84
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Clare,All years,Number,189
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Cork,All years,Number,1460
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Donegal,All years,Number,171
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Dublin,All years,Number,6647
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Galway,All years,Number,633
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Kerry,All years,Number,184
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Kildare,All years,Number,770
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Kilkenny,All years,Number,146
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Laois,All years,Number,114
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Leitrim,All years,Number,24
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Limerick,All years,Number,274
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Longford,All years,Number,50
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Louth,All years,Number,253
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Mayo,All years,Number,137
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Meath,All years,Number,588
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Monaghan,All years,Number,64
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Offaly,All years,Number,71
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Roscommon,All years,Number,79
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Sligo,All years,Number,71
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Tipperary,All years,Number,204
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Waterford,All years,Number,228
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Westmeath,All years,Number,150
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Wexford,All years,Number,214
Vehicle Population,2021,All owners,1801 - 2000 cc,Other fuel types,Co. Wicklow,All years,Number,540
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Carlow,All years,Number,54
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Cavan,All years,Number,62
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Clare,All years,Number,133
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Cork,All years,Number,867
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Donegal,All years,Number,115
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Dublin,All years,Number,4205
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Galway,All years,Number,341
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Kerry,All years,Number,165
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Kildare,All years,Number,393
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Kilkenny,All years,Number,113
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Laois,All years,Number,68
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Leitrim,All years,Number,27
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Limerick,All years,Number,227
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Longford,All years,Number,32
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Louth,All years,Number,158
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Mayo,All years,Number,101
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Meath,All years,Number,317
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Monaghan,All years,Number,50
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Offaly,All years,Number,73
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Roscommon,All years,Number,49
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Sligo,All years,Number,50
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Tipperary,All years,Number,170
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Waterford,All years,Number,151
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Westmeath,All years,Number,79
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Wexford,All years,Number,159
Vehicle Population,2021,All owners,Over 2000 cc,Petrol,Co. Wicklow,All years,Number,453
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Carlow,All years,Number,1453
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Cavan,All years,Number,1605
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Clare,All years,Number,2477
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Cork,All years,Number,11145
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Donegal,All years,Number,2518
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Dublin,All years,Number,27055
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Galway,All years,Number,5438
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Kerry,All years,Number,3076
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Kildare,All years,Number,6113
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Kilkenny,All years,Number,2422
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Laois,All years,Number,1957
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Leitrim,All years,Number,578
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Limerick,All years,Number,4078
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Longford,All years,Number,825
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Louth,All years,Number,2525
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Mayo,All years,Number,2707
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Meath,All years,Number,5740
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Monaghan,All years,Number,1342
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Offaly,All years,Number,1649
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Roscommon,All years,Number,1293
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Sligo,All years,Number,1151
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Tipperary,All years,Number,3967
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Waterford,All years,Number,2696
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Westmeath,All years,Number,1895
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Wexford,All years,Number,4054
Vehicle Population,2021,All owners,Over 2000 cc,Diesel,Co. Wicklow,All years,Number,4050
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Carlow,All years,Number,141
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Cavan,All years,Number,208
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Clare,All years,Number,280
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Cork,All years,Number,2038
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Donegal,All years,Number,319
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Dublin,All years,Number,8000
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Galway,All years,Number,1029
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Kerry,All years,Number,374
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Kildare,All years,Number,874
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Kilkenny,All years,Number,199
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Laois,All years,Number,173
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Leitrim,All years,Number,50
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Limerick,All years,Number,454
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Longford,All years,Number,109
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Louth,All years,Number,339
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Mayo,All years,Number,329
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Meath,All years,Number,834
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Monaghan,All years,Number,104
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Offaly,All years,Number,196
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Roscommon,All years,Number,184
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Sligo,All years,Number,123
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Tipperary,All years,Number,400
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Waterford,All years,Number,269
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Westmeath,All years,Number,264
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Wexford,All years,Number,316
Vehicle Population,2021,All owners,Over 2000 cc,Other fuel types,Co. Wicklow,All years,Number,658
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Carlow,All years,Number,2103
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Cavan,All years,Number,2345
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Clare,All years,Number,4844
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Cork,All years,Number,27698
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Donegal,All years,Number,4712
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Dublin,All years,Number,62072
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Galway,All years,Number,8512
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Kerry,All years,Number,5656
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Kildare,All years,Number,10241
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Kilkenny,All years,Number,3710
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Laois,All years,Number,2585
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Leitrim,All years,Number,1022
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Limerick,All years,Number,8385
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Longford,All years,Number,1177
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Louth,All years,Number,5789
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Mayo,All years,Number,4258
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Meath,All years,Number,7418
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Monaghan,All years,Number,1574
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Offaly,All years,Number,2446
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Roscommon,All years,Number,3186
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Sligo,All years,Number,2473
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Tipperary,All years,Number,5796
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Waterford,All years,Number,6391
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Westmeath,All years,Number,2865
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Wexford,All years,Number,6356
Vehicle Population,2022,All owners,Up to 1000 cc,Petrol,Co. Wicklow,All years,Number,6400
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Carlow,All years,Number,0
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Cavan,All years,Number,2
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Clare,All years,Number,6
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Cork,All years,Number,22
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Donegal,All years,Number,4
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Dublin,All years,Number,97
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Galway,All years,Number,14
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Kerry,All years,Number,5
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Kildare,All years,Number,3
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Kilkenny,All years,Number,0
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Laois,All years,Number,0
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Leitrim,All years,Number,0
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Limerick,All years,Number,3
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Longford,All years,Number,1
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Louth,All years,Number,8
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Mayo,All years,Number,4
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Meath,All years,Number,6
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Monaghan,All years,Number,4
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Offaly,All years,Number,2
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Roscommon,All years,Number,2
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Sligo,All years,Number,0
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Tipperary,All years,Number,6
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Waterford,All years,Number,7
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Westmeath,All years,Number,9
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Wexford,All years,Number,9
Vehicle Population,2022,All owners,Up to 1000 cc,Diesel,Co. Wicklow,All years,Number,3
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Carlow,All years,Number,340
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Cavan,All years,Number,305
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Clare,All years,Number,780
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Cork,All years,Number,4058
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Donegal,All years,Number,486
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Dublin,All years,Number,13883
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Galway,All years,Number,1467
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Kerry,All years,Number,642
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Kildare,All years,Number,2093
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Kilkenny,All years,Number,518
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Laois,All years,Number,413
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Leitrim,All years,Number,107
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Limerick,All years,Number,1000
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Longford,All years,Number,144
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Louth,All years,Number,788
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Mayo,All years,Number,491
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Meath,All years,Number,1622
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Monaghan,All years,Number,175
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Offaly,All years,Number,309
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Roscommon,All years,Number,230
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Sligo,All years,Number,344
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Tipperary,All years,Number,749
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Waterford,All years,Number,695
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Westmeath,All years,Number,536
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Wexford,All years,Number,990
Vehicle Population,2022,All owners,Up to 1000 cc,Other fuel types,Co. Wicklow,All years,Number,1562
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Carlow,All years,Number,1525
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Cavan,All years,Number,1376
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Clare,All years,Number,3309
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Cork,All years,Number,17464
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Donegal,All years,Number,2908
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Dublin,All years,Number,49209
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Galway,All years,Number,6003
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Kerry,All years,Number,4165
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Kildare,All years,Number,7659
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Kilkenny,All years,Number,2642
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Laois,All years,Number,1690
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Leitrim,All years,Number,672
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Limerick,All years,Number,5502
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Longford,All years,Number,704
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Louth,All years,Number,4043
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Mayo,All years,Number,2441
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Meath,All years,Number,5882
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Monaghan,All years,Number,1070
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Offaly,All years,Number,1689
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Roscommon,All years,Number,1643
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Sligo,All years,Number,1578
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Tipperary,All years,Number,4116
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Waterford,All years,Number,4527
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Westmeath,All years,Number,2038
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Wexford,All years,Number,4355
Vehicle Population,2022,All owners,1001 - 1200 cc,Petrol,Co. Wicklow,All years,Number,5459
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Carlow,All years,Number,82
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Cavan,All years,Number,89
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Clare,All years,Number,138
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Cork,All years,Number,564
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Donegal,All years,Number,168
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Dublin,All years,Number,635
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Galway,All years,Number,203
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Kerry,All years,Number,119
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Kildare,All years,Number,247
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Kilkenny,All years,Number,160
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Laois,All years,Number,118
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Leitrim,All years,Number,37
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Limerick,All years,Number,166
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Longford,All years,Number,58
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Louth,All years,Number,189
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Mayo,All years,Number,118
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Meath,All years,Number,225
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Monaghan,All years,Number,97
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Offaly,All years,Number,96
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Roscommon,All years,Number,73
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Sligo,All years,Number,61
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Tipperary,All years,Number,178
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Waterford,All years,Number,124
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Westmeath,All years,Number,142
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Wexford,All years,Number,190
Vehicle Population,2022,All owners,1001 - 1200 cc,Diesel,Co. Wicklow,All years,Number,168
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Carlow,All years,Number,80
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Cavan,All years,Number,74
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Clare,All years,Number,150
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Cork,All years,Number,826
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Donegal,All years,Number,135
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Dublin,All years,Number,1518
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Galway,All years,Number,213
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Kerry,All years,Number,214
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Kildare,All years,Number,388
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Kilkenny,All years,Number,95
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Laois,All years,Number,88
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Leitrim,All years,Number,27
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Limerick,All years,Number,217
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Longford,All years,Number,28
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Louth,All years,Number,166
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Mayo,All years,Number,48
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Meath,All years,Number,327
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Monaghan,All years,Number,39
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Offaly,All years,Number,66
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Roscommon,All years,Number,64
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Sligo,All years,Number,48
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Tipperary,All years,Number,165
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Waterford,All years,Number,171
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Westmeath,All years,Number,113
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Wexford,All years,Number,256
Vehicle Population,2022,All owners,1001 - 1200 cc,Other fuel types,Co. Wicklow,All years,Number,178
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Carlow,All years,Number,3318
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Cavan,All years,Number,3143
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Clare,All years,Number,7567
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Cork,All years,Number,40135
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Donegal,All years,Number,8166
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Dublin,All years,Number,88165
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Galway,All years,Number,15278
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Kerry,All years,Number,10291
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Kildare,All years,Number,13938
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Kilkenny,All years,Number,5526
