Statistic Label,Week,Mode of Transport,UNIT,VALUE
Passenger Journeys,2021 Week 33,"Bus, excluding Dublin Metro",Number,459631
Passenger Journeys,2021 Week 33,Rail,Number,396685
Passenger Journeys,2021 Week 34,Dublin Metro Bus,Number,1766188
Passenger Journeys,2021 Week 34,"Bus, excluding Dublin Metro",Number,505692
Passenger Journeys,2021 Week 34,Rail,Number,475258
Passenger Journeys,2021 Week 35,Dublin Metro Bus,Number,1849382
Passenger Journeys,2021 Week 35,"Bus, excluding Dublin Metro",Number,507106
Passenger Journeys,2021 Week 35,Rail,Number,445064
Passenger Journeys,2021 Week 36,Dublin Metro Bus,Number,1919743
Passenger Journeys,2021 Week 36,"Bus, excluding Dublin Metro",Number,527134
Passenger Journeys,2021 Week 36,Rail,Number,454290
Passenger Journeys,2021 Week 37,Dublin Metro Bus,Number,1996559
Passenger Journeys,2021 Week 37,"Bus, excluding Dublin Metro",Number,544763
Passenger Journeys,2021 Week 37,Rail,Number,430036
Passenger Journeys,2021 Week 38,Dublin Metro Bus,Number,2133682
Passenger Journeys,2021 Week 38,"Bus, excluding Dublin Metro",Number,578850
Passenger Journeys,2021 Week 38,Rail,Number,481469
Passenger Journeys,2021 Week 39,Dublin Metro Bus,Number,2200701
Passenger Journeys,2021 Week 39,"Bus, excluding Dublin Metro",Number,604775
Passenger Journeys,2021 Week 39,Rail,Number,516121
Passenger Journeys,2021 Week 40,Dublin Metro Bus,Number,2247599
Passenger Journeys,2021 Week 40,"Bus, excluding Dublin Metro",Number,601080
Passenger Journeys,2021 Week 40,Rail,Number,523639
Passenger Journeys,2021 Week 41,Dublin Metro Bus,Number,2247417
Passenger Journeys,2021 Week 41,"Bus, excluding Dublin Metro",Number,613892
Passenger Journeys,2021 Week 41,Rail,Number,524870
Passenger Journeys,2021 Week 42,Dublin Metro Bus,Number,2260213
Passenger Journeys,2021 Week 42,"Bus, excluding Dublin Metro",Number,609960
Passenger Journeys,2021 Week 42,Rail,Number,462006
Passenger Journeys,2021 Week 43,Dublin Metro Bus,Number,1815542
Passenger Journeys,2021 Week 43,"Bus, excluding Dublin Metro",Number,501525
Passenger Journeys,2021 Week 43,Rail,Number,440154
Passenger Journeys,2021 Week 44,Dublin Metro Bus,Number,2239515
Passenger Journeys,2021 Week 44,"Bus, excluding Dublin Metro",Number,588321
Passenger Journeys,2021 Week 44,Rail,Number,569327
Passenger Journeys,2021 Week 45,Dublin Metro Bus,Number,2258734
Passenger Journeys,2021 Week 45,"Bus, excluding Dublin Metro",Number,592538
Passenger Journeys,2021 Week 45,Rail,Number,570080
Passenger Journeys,2021 Week 46,Dublin Metro Bus,Number,2218390
Passenger Journeys,2021 Week 46,"Bus, excluding Dublin Metro",Number,598813
Passenger Journeys,2021 Week 46,Rail,Number,509671
Passenger Journeys,2021 Week 47,Dublin Metro Bus,Number,2159300
Passenger Journeys,2021 Week 47,"Bus, excluding Dublin Metro",Number,573025
Passenger Journeys,2021 Week 47,Rail,Number,465963
Passenger Journeys,2021 Week 48,Dublin Metro Bus,Number,2126792
Passenger Journeys,2021 Week 48,"Bus, excluding Dublin Metro",Number,545762
Passenger Journeys,2021 Week 48,Rail,Number,465590
Passenger Journeys,2021 Week 49,Dublin Metro Bus,Number,1910575
Passenger Journeys,2021 Week 49,"Bus, excluding Dublin Metro",Number,478897
Passenger Journeys,2021 Week 49,Rail,Number,417041
Passenger Journeys,2021 Week 50,Dublin Metro Bus,Number,2173422
Passenger Journeys,2021 Week 50,"Bus, excluding Dublin Metro",Number,586228
Passenger Journeys,2021 Week 50,Rail,Number,477149
Passenger Journeys,2021 Week 51,Dublin Metro Bus,Number,1496396
Passenger Journeys,2021 Week 51,"Bus, excluding Dublin Metro",Number,396284
Passenger Journeys,2021 Week 51,Rail,Number,278965
Passenger Journeys,2021 Week 52,Dublin Metro Bus,Number,1099282
Passenger Journeys,2021 Week 52,"Bus, excluding Dublin Metro",Number,289588
Passenger Journeys,2021 Week 52,Rail,Number,243709
Passenger Journeys,2021 Week 53,Dublin Metro Bus,Number,
Passenger Journeys,2021 Week 53,"Bus, excluding Dublin Metro",Number,
Passenger Journeys,2021 Week 53,Rail,Number,
Passenger Journeys,2022 Week 01,Dublin Metro Bus,Number,1406243
Passenger Journeys,2022 Week 01,"Bus, excluding Dublin Metro",Number,365503
Passenger Journeys,2022 Week 01,Rail,Number,288051
Passenger Journeys,2022 Week 02,Dublin Metro Bus,Number,1779235
Passenger Journeys,2022 Week 02,"Bus, excluding Dublin Metro",Number,475432
Passenger Journeys,2022 Week 02,Rail,Number,357666
Passenger Journeys,2022 Week 03,Dublin Metro Bus,Number,1966074
Passenger Journeys,2022 Week 03,"Bus, excluding Dublin Metro",Number,519750
Passenger Journeys,2022 Week 03,Rail,Number,399947
Passenger Journeys,2022 Week 04,Dublin Metro Bus,Number,2109953
Passenger Journeys,2022 Week 04,"Bus, excluding Dublin Metro",Number,550396
Passenger Journeys,2022 Week 04,Rail,Number,453379
Passenger Journeys,2022 Week 05,Dublin Metro Bus,Number,2180251
Passenger Journeys,2022 Week 05,"Bus, excluding Dublin Metro",Number,562335
Passenger Journeys,2022 Week 05,Rail,Number,524640
Passenger Journeys,2022 Week 06,Dublin Metro Bus,Number,2222594
Passenger Journeys,2022 Week 06,"Bus, excluding Dublin Metro",Number,582446
Passenger Journeys,2022 Week 06,Rail,Number,477140
Passenger Journeys,2022 Week 07,Dublin Metro Bus,Number,2145226
Passenger Journeys,2022 Week 07,"Bus, excluding Dublin Metro",Number,527018
Passenger Journeys,2022 Week 07,Rail,Number,471325
Passenger Journeys,2022 Week 08,Dublin Metro Bus,Number,2104859
Passenger Journeys,2022 Week 08,"Bus, excluding Dublin Metro",Number,543279
Passenger Journeys,2022 Week 08,Rail,Number,533442
Passenger Journeys,2022 Week 09,Dublin Metro Bus,Number,2393755
Passenger Journeys,2022 Week 09,"Bus, excluding Dublin Metro",Number,612819
Passenger Journeys,2022 Week 09,Rail,Number,589825
Passenger Journeys,2022 Week 10,Dublin Metro Bus,Number,2300757
Passenger Journeys,2022 Week 10,"Bus, excluding Dublin Metro",Number,572414
Passenger Journeys,2022 Week 10,Rail,Number,507442
Passenger Journeys,2022 Week 11,Dublin Metro Bus,Number,2121172
Passenger Journeys,2022 Week 11,"Bus, excluding Dublin Metro",Number,540807
Passenger Journeys,2022 Week 11,Rail,Number,580364
Passenger Journeys,2022 Week 12,Dublin Metro Bus,Number,2432024
Passenger Journeys,2022 Week 12,"Bus, excluding Dublin Metro",Number,608648
Passenger Journeys,2022 Week 12,Rail,Number,598637
Passenger Journeys,2022 Week 13,Dublin Metro Bus,Number,2371286
Passenger Journeys,2022 Week 13,"Bus, excluding Dublin Metro",Number,591604
Passenger Journeys,2022 Week 13,Rail,Number,602411
Passenger Journeys,2022 Week 14,Dublin Metro Bus,Number,2450481
Passenger Journeys,2022 Week 14,"Bus, excluding Dublin Metro",Number,616574
Passenger Journeys,2022 Week 14,Rail,Number,581420
Passenger Journeys,2022 Week 15,Dublin Metro Bus,Number,2266854
Passenger Journeys,2022 Week 15,"Bus, excluding Dublin Metro",Number,556672
Passenger Journeys,2022 Week 15,Rail,Number,557169
Passenger Journeys,2022 Week 16,Dublin Metro Bus,Number,2229079
Passenger Journeys,2022 Week 16,"Bus, excluding Dublin Metro",Number,570284
Passenger Journeys,2022 Week 16,Rail,Number,590864
Passenger Journeys,2022 Week 17,Dublin Metro Bus,Number,2471590
Passenger Journeys,2022 Week 17,"Bus, excluding Dublin Metro",Number,666915
Passenger Journeys,2022 Week 17,Rail,Number,599078
Passenger Journeys,2022 Week 18,Dublin Metro Bus,Number,2335362
Passenger Journeys,2022 Week 18,"Bus, excluding Dublin Metro",Number,645649
Passenger Journeys,2022 Week 18,Rail,Number,633863
Passenger Journeys,2022 Week 19,Dublin Metro Bus,Number,2267822
Passenger Journeys,2022 Week 19,"Bus, excluding Dublin Metro",Number,681036
Passenger Journeys,2022 Week 19,Rail,Number,672546
Passenger Journeys,2022 Week 20,Dublin Metro Bus,Number,2454491
Passenger Journeys,2022 Week 20,"Bus, excluding Dublin Metro",Number,668361
Passenger Journeys,2022 Week 20,Rail,Number,650548
Passenger Journeys,2022 Week 21,Dublin Metro Bus,Number,2449292
Passenger Journeys,2022 Week 21,"Bus, excluding Dublin Metro",Number,671051
Passenger Journeys,2022 Week 21,Rail,Number,663418
Passenger Journeys,2022 Week 22,Dublin Metro Bus,Number,2461534
Passenger Journeys,2022 Week 22,"Bus, excluding Dublin Metro",Number,675775
Passenger Journeys,2022 Week 22,Rail,Number,700921
Passenger Journeys,2022 Week 23,Dublin Metro Bus,Number,2417295
Passenger Journeys,2022 Week 23,"Bus, excluding Dublin Metro",Number,628508
Passenger Journeys,2022 Week 23,Rail,Number,646250
Passenger Journeys,2022 Week 24,Dublin Metro Bus,Number,2297192
Passenger Journeys,2022 Week 24,"Bus, excluding Dublin Metro",Number,689753
Passenger Journeys,2022 Week 24,Rail,Number,718874
Passenger Journeys,2022 Week 25,Dublin Metro Bus,Number,2458431
Passenger Journeys,2022 Week 25,"Bus, excluding Dublin Metro",Number,672758
Passenger Journeys,2022 Week 25,Rail,Number,777823
Passenger Journeys,2022 Week 26,Dublin Metro Bus,Number,2456029
Passenger Journeys,2022 Week 26,"Bus, excluding Dublin Metro",Number,641014
Passenger Journeys,2022 Week 26,Rail,Number,723963
Passenger Journeys,2022 Week 27,Dublin Metro Bus,Number,2455447
Passenger Journeys,2022 Week 27,"Bus, excluding Dublin Metro",Number,688352
Passenger Journeys,2022 Week 27,Rail,Number,768799
Passenger Journeys,2022 Week 28,Dublin Metro Bus,Number,2463379
Passenger Journeys,2022 Week 28,"Bus, excluding Dublin Metro",Number,693305
Passenger Journeys,2022 Week 28,Rail,Number,788475
Passenger Journeys,2022 Week 29,Dublin Metro Bus,Number,2437677
Passenger Journeys,2022 Week 29,"Bus, excluding Dublin Metro",Number,668149
Passenger Journeys,2022 Week 29,Rail,Number,780426
Passenger Journeys,2022 Week 30,Dublin Metro Bus,Number,2428637
Passenger Journeys,2022 Week 30,"Bus, excluding Dublin Metro",Number,654034
Passenger Journeys,2022 Week 30,Rail,Number,694529
Passenger Journeys,2022 Week 31,Dublin Metro Bus,Number,2391497
Passenger Journeys,2022 Week 31,"Bus, excluding Dublin Metro",Number,599663
Passenger Journeys,2022 Week 31,Rail,Number,695776
Passenger Journeys,2022 Week 32,Dublin Metro Bus,Number,2569142
Passenger Journeys,2022 Week 32,"Bus, excluding Dublin Metro",Number,700075
Passenger Journeys,2022 Week 32,Rail,Number,776829
Passenger Journeys,2022 Week 33,Dublin Metro Bus,Number,2555241
Passenger Journeys,2022 Week 33,"Bus, excluding Dublin Metro",Number,687677
Passenger Journeys,2022 Week 33,Rail,Number,708368
Passenger Journeys,2022 Week 34,Dublin Metro Bus,Number,2614443
Passenger Journeys,2022 Week 34,"Bus, excluding Dublin Metro",Number,719994
Passenger Journeys,2022 Week 34,Rail,Number,753379
Passenger Journeys,2022 Week 35,Dublin Metro Bus,Number,2694493
Passenger Journeys,2022 Week 35,"Bus, excluding Dublin Metro",Number,703280
Passenger Journeys,2022 Week 35,Rail,Number,674115
Passenger Journeys,2022 Week 36,Dublin Metro Bus,Number,2770458
Passenger Journeys,2022 Week 36,"Bus, excluding Dublin Metro",Number,746245
Passenger Journeys,2022 Week 36,Rail,Number,735395
Passenger Journeys,2022 Week 37,Dublin Metro Bus,Number,2991127
Passenger Journeys,2022 Week 37,"Bus, excluding Dublin Metro",Number,823471
Passenger Journeys,2022 Week 37,Rail,Number,781714
Passenger Journeys,2022 Week 38,Dublin Metro Bus,Number,3026029
Passenger Journeys,2022 Week 38,"Bus, excluding Dublin Metro",Number,849445
Passenger Journeys,2022 Week 38,Rail,Number,777177
Passenger Journeys,2022 Week 39,Dublin Metro Bus,Number,3092163
Passenger Journeys,2022 Week 39,"Bus, excluding Dublin Metro",Number,885387
Passenger Journeys,2022 Week 39,Rail,Number,841960
Passenger Journeys,2022 Week 40,Dublin Metro Bus,Number,3132650
Passenger Journeys,2022 Week 40,"Bus, excluding Dublin Metro",Number,896210
Passenger Journeys,2022 Week 40,Rail,Number,841573
Passenger Journeys,2022 Week 41,Dublin Metro Bus,Number,3130260
Passenger Journeys,2022 Week 41,"Bus, excluding Dublin Metro",Number,885730
Passenger Journeys,2022 Week 41,Rail,Number,814269
Passenger Journeys,2022 Week 42,Dublin Metro Bus,Number,3096053
Passenger Journeys,2022 Week 42,"Bus, excluding Dublin Metro",Number,866776
Passenger Journeys,2022 Week 42,Rail,Number,824247
Passenger Journeys,2022 Week 43,Dublin Metro Bus,Number,3157869
Passenger Journeys,2022 Week 43,"Bus, excluding Dublin Metro",Number,891987
Passenger Journeys,2022 Week 43,Rail,Number,799752
Passenger Journeys,2022 Week 44,Dublin Metro Bus,Number,2723592
Passenger Journeys,2022 Week 44,"Bus, excluding Dublin Metro",Number,736242
Passenger Journeys,2022 Week 44,Rail,Number,767786
Passenger Journeys,2022 Week 45,Dublin Metro Bus,Number,3157496
Passenger Journeys,2022 Week 45,"Bus, excluding Dublin Metro",Number,864536
Passenger Journeys,2022 Week 45,Rail,Number,860900
Passenger Journeys,2022 Week 46,Dublin Metro Bus,Number,3192643
Passenger Journeys,2022 Week 46,"Bus, excluding Dublin Metro",Number,891579
Passenger Journeys,2022 Week 46,Rail,Number,863826
Passenger Journeys,2022 Week 47,Dublin Metro Bus,Number,3114790
Passenger Journeys,2022 Week 47,"Bus, excluding Dublin Metro",Number,871810
Passenger Journeys,2022 Week 47,Rail,Number,810472
Passenger Journeys,2022 Week 48,Dublin Metro Bus,Number,3147713
Passenger Journeys,2022 Week 48,"Bus, excluding Dublin Metro",Number,852232
Passenger Journeys,2022 Week 48,Rail,Number,810146
Passenger Journeys,2022 Week 49,Dublin Metro Bus,Number,3073856
Passenger Journeys,2022 Week 49,"Bus, excluding Dublin Metro",Number,840769
Passenger Journeys,2022 Week 49,Rail,Number,831900
Passenger Journeys,2022 Week 50,Dublin Metro Bus,Number,3050335
Passenger Journeys,2022 Week 50,"Bus, excluding Dublin Metro",Number,800708
Passenger Journeys,2022 Week 50,Rail,Number,805056
Passenger Journeys,2022 Week 51,Dublin Metro Bus,Number,2741688
Passenger Journeys,2022 Week 51,"Bus, excluding Dublin Metro",Number,662302
Passenger Journeys,2022 Week 51,Rail,Number,619257
Passenger Journeys,2022 Week 52,Dublin Metro Bus,Number,2840848
Passenger Journeys,2022 Week 52,"Bus, excluding Dublin Metro",Number,478378
Passenger Journeys,2022 Week 52,Rail,Number,410985
Passenger Journeys,2022 Week 53,Dublin Metro Bus,Number,
Passenger Journeys,2022 Week 53,"Bus, excluding Dublin Metro",Number,
Passenger Journeys,2022 Week 53,Rail,Number,
Passenger Journeys,2023 Week 01,Dublin Metro Bus,Number,2325239
Passenger Journeys,2023 Week 01,"Bus, excluding Dublin Metro",Number,614352
Passenger Journeys,2023 Week 01,Rail,Number,593351
Passenger Journeys,2023 Week 02,Dublin Metro Bus,Number,2791337
Passenger Journeys,2023 Week 02,"Bus, excluding Dublin Metro",Number,742138
Passenger Journeys,2023 Week 02,Rail,Number,693509
Passenger Journeys,2023 Week 03,Dublin Metro Bus,Number,2948010
Passenger Journeys,2023 Week 03,"Bus, excluding Dublin Metro",Number,791800
Passenger Journeys,2023 Week 03,Rail,Number,737213
Passenger Journeys,2023 Week 04,Dublin Metro Bus,Number,3166957
Passenger Journeys,2023 Week 04,"Bus, excluding Dublin Metro",Number,858179
Passenger Journeys,2023 Week 04,Rail,Number,803814
Passenger Journeys,2023 Week 05,Dublin Metro Bus,Number,3157789
Passenger Journeys,2023 Week 05,"Bus, excluding Dublin Metro",Number,867139
Passenger Journeys,2023 Week 05,Rail,Number,843766
Passenger Journeys,2023 Week 06,Dublin Metro Bus,Number,2957697
Passenger Journeys,2023 Week 06,"Bus, excluding Dublin Metro",Number,803293
Passenger Journeys,2023 Week 06,Rail,Number,783829
Passenger Journeys,2023 Week 07,Dublin Metro Bus,Number,3095444
Passenger Journeys,2023 Week 07,"Bus, excluding Dublin Metro",Number,882482
Passenger Journeys,2023 Week 07,Rail,Number,825296
Passenger Journeys,2023 Week 08,Dublin Metro Bus,Number,3232516
Passenger Journeys,2023 Week 08,"Bus, excluding Dublin Metro",Number,885217
Passenger Journeys,2023 Week 08,Rail,Number,843175
Passenger Journeys,2023 Week 09,Dublin Metro Bus,Number,3207780
Passenger Journeys,2023 Week 09,"Bus, excluding Dublin Metro",Number,878491
Passenger Journeys,2023 Week 09,Rail,Number,860894
Passenger Journeys,2023 Week 10,Dublin Metro Bus,Number,3133172
Passenger Journeys,2023 Week 10,"Bus, excluding Dublin Metro",Number,847587
Passenger Journeys,2023 Week 10,Rail,Number,771731
Passenger Journeys,2023 Week 11,Dublin Metro Bus,Number,2964999
Passenger Journeys,2023 Week 11,"Bus, excluding Dublin Metro",Number,819312
Passenger Journeys,2023 Week 11,Rail,Number,816678
Passenger Journeys,2023 Week 12,Dublin Metro Bus,Number,3207312
Passenger Journeys,2023 Week 12,"Bus, excluding Dublin Metro",Number,849417
Passenger Journeys,2023 Week 12,Rail,Number,851471
Passenger Journeys,2023 Week 13,Dublin Metro Bus,Number,3274633
Passenger Journeys,2023 Week 13,"Bus, excluding Dublin Metro",Number,854952
Passenger Journeys,2023 Week 13,Rail,Number,689730
Passenger Journeys,2023 Week 14,Dublin Metro Bus,Number,3030252
Passenger Journeys,2023 Week 14,"Bus, excluding Dublin Metro",Number,815998
Passenger Journeys,2023 Week 14,Rail,Number,801427
Passenger Journeys,2023 Week 15,Dublin Metro Bus,Number,2814650
Passenger Journeys,2023 Week 15,"Bus, excluding Dublin Metro",Number,736415
Passenger Journeys,2023 Week 15,Rail,Number,731982
Passenger Journeys,2023 Week 16,Dublin Metro Bus,Number,3267439
Passenger Journeys,2023 Week 16,"Bus, excluding Dublin Metro",Number,880537
Passenger Journeys,2023 Week 16,Rail,Number,836941
Passenger Journeys,2023 Week 17,Dublin Metro Bus,Number,3325827
Passenger Journeys,2023 Week 17,"Bus, excluding Dublin Metro",Number,883494
Passenger Journeys,2023 Week 17,Rail,Number,865758
Passenger Journeys,2023 Week 18,Dublin Metro Bus,Number,3082566
Passenger Journeys,2023 Week 18,"Bus, excluding Dublin Metro",Number,825877
Passenger Journeys,2023 Week 18,Rail,Number,872894
Passenger Journeys,2023 Week 19,Dublin Metro Bus,Number,3207366
Passenger Journeys,2023 Week 19,"Bus, excluding Dublin Metro",Number,878188
Passenger Journeys,2023 Week 19,Rail,Number,873808
Passenger Journeys,2023 Week 20,Dublin Metro Bus,Number,3127899
Passenger Journeys,2023 Week 20,"Bus, excluding Dublin Metro",Number,862338
Passenger Journeys,2023 Week 20,Rail,Number,891149
Passenger Journeys,2023 Week 21,Dublin Metro Bus,Number,3173348
Passenger Journeys,2023 Week 21,"Bus, excluding Dublin Metro",Number,870042
Passenger Journeys,2023 Week 21,Rail,Number,890058
Passenger Journeys,2023 Week 22,Dublin Metro Bus,Number,3200660
Passenger Journeys,2023 Week 22,"Bus, excluding Dublin Metro",Number,865585
Passenger Journeys,2023 Week 22,Rail,Number,975543
Passenger Journeys,2023 Week 23,Dublin Metro Bus,Number,2904610
Passenger Journeys,2023 Week 23,"Bus, excluding Dublin Metro",Number,781015
Passenger Journeys,2023 Week 23,Rail,Number,816266
Passenger Journeys,2023 Week 24,Dublin Metro Bus,Number,3057569
Passenger Journeys,2023 Week 24,"Bus, excluding Dublin Metro",Number,802039
Passenger Journeys,2023 Week 24,Rail,Number,880035
Passenger Journeys,2023 Week 25,Dublin Metro Bus,Number,3057052
Passenger Journeys,2023 Week 25,"Bus, excluding Dublin Metro",Number,781908
Passenger Journeys,2023 Week 25,Rail,Number,902728
Passenger Journeys,2023 Week 26,Dublin Metro Bus,Number,3108755
Passenger Journeys,2023 Week 26,"Bus, excluding Dublin Metro",Number,760478
Passenger Journeys,2023 Week 26,Rail,Number,938599
Passenger Journeys,2023 Week 27,Dublin Metro Bus,Number,3046360
Passenger Journeys,2023 Week 27,"Bus, excluding Dublin Metro",Number,810830
Passenger Journeys,2023 Week 27,Rail,Number,858711
Passenger Journeys,2023 Week 28,Dublin Metro Bus,Number,2939504
Passenger Journeys,2023 Week 28,"Bus, excluding Dublin Metro",Number,799946
Passenger Journeys,2023 Week 28,Rail,Number,785124
Passenger Journeys,2023 Week 29,Dublin Metro Bus,Number,2956246
Passenger Journeys,2023 Week 29,"Bus, excluding Dublin Metro",Number,799518
Passenger Journeys,2023 Week 29,Rail,Number,806263
Passenger Journeys,2023 Week 30,Dublin Metro Bus,Number,2998446
Passenger Journeys,2023 Week 30,"Bus, excluding Dublin Metro",Number,788301
Passenger Journeys,2023 Week 30,Rail,Number,814033
Passenger Journeys,2023 Week 31,Dublin Metro Bus,Number,2907903
Passenger Journeys,2023 Week 31,"Bus, excluding Dublin Metro",Number,819255
Passenger Journeys,2023 Week 31,Rail,Number,842625
Passenger Journeys,2023 Week 32,Dublin Metro Bus,Number,2807912
Passenger Journeys,2023 Week 32,"Bus, excluding Dublin Metro",Number,752795
Passenger Journeys,2023 Week 32,Rail,Number,828688
Passenger Journeys,2023 Week 33,Dublin Metro Bus,Number,2935441
Passenger Journeys,2023 Week 33,"Bus, excluding Dublin Metro",Number,816489
Passenger Journeys,2023 Week 33,Rail,Number,850226
Passenger Journeys,2023 Week 34,Dublin Metro Bus,Number,2989135
Passenger Journeys,2023 Week 34,"Bus, excluding Dublin Metro",Number,845884
Passenger Journeys,2023 Week 34,Rail,Number,818169
Passenger Journeys,2023 Week 35,Dublin Metro Bus,Number,3134289
Passenger Journeys,2023 Week 35,"Bus, excluding Dublin Metro",Number,835183
Passenger Journeys,2023 Week 35,Rail,Number,882381
Passenger Journeys,2023 Week 36,Dublin Metro Bus,Number,3266735
Passenger Journeys,2023 Week 36,"Bus, excluding Dublin Metro",Number,910823
Passenger Journeys,2023 Week 36,Rail,Number,948395
Passenger Journeys,2023 Week 37,Dublin Metro Bus,Number,3332761
Passenger Journeys,2023 Week 37,"Bus, excluding Dublin Metro",Number,924379
Passenger Journeys,2023 Week 37,Rail,Number,789208
Passenger Journeys,2023 Week 38,Dublin Metro Bus,Number,3558455
Passenger Journeys,2023 Week 38,"Bus, excluding Dublin Metro",Number,984371
Passenger Journeys,2023 Week 38,Rail,Number,945832
Passenger Journeys,2023 Week 39,Dublin Metro Bus,Number,3517509
Passenger Journeys,2023 Week 39,"Bus, excluding Dublin Metro",Number,950613
Passenger Journeys,2023 Week 39,Rail,Number,932441
Passenger Journeys,2023 Week 40,Dublin Metro Bus,Number,3595880
Passenger Journeys,2023 Week 40,"Bus, excluding Dublin Metro",Number,894313
Passenger Journeys,2023 Week 40,Rail,Number,974332
Passenger Journeys,2023 Week 41,Dublin Metro Bus,Number,3629045
Passenger Journeys,2023 Week 41,"Bus, excluding Dublin Metro",Number,923175
Passenger Journeys,2023 Week 41,Rail,Number,925784
Passenger Journeys,2023 Week 42,Dublin Metro Bus,Number,3492660
Passenger Journeys,2023 Week 42,"Bus, excluding Dublin Metro",Number,933376
Passenger Journeys,2023 Week 42,Rail,Number,912832
Passenger Journeys,2023 Week 43,Dublin Metro Bus,Number,3504413
Passenger Journeys,2023 Week 43,"Bus, excluding Dublin Metro",Number,974091
Passenger Journeys,2023 Week 43,Rail,Number,888050
Passenger Journeys,2023 Week 44,Dublin Metro Bus,Number,3043578
Passenger Journeys,2023 Week 44,"Bus, excluding Dublin Metro",Number,811636
Passenger Journeys,2023 Week 44,Rail,Number,824979
Passenger Journeys,2023 Week 45,Dublin Metro Bus,Number,3517888
Passenger Journeys,2023 Week 45,"Bus, excluding Dublin Metro",Number,928383
Passenger Journeys,2023 Week 45,Rail,Number,959770
Passenger Journeys,2023 Week 46,Dublin Metro Bus,Number,3311974
Passenger Journeys,2023 Week 46,"Bus, excluding Dublin Metro",Number,900766
Passenger Journeys,2023 Week 46,Rail,Number,900707
Passenger Journeys,2023 Week 47,Dublin Metro Bus,Number,3218635
Passenger Journeys,2023 Week 47,"Bus, excluding Dublin Metro",Number,895925
Passenger Journeys,2023 Week 47,Rail,Number,945060
Passenger Journeys,2023 Week 48,Dublin Metro Bus,Number,3453532
Passenger Journeys,2023 Week 48,"Bus, excluding Dublin Metro",Number,941393
Passenger Journeys,2023 Week 48,Rail,Number,942218
Passenger Journeys,2023 Week 49,Dublin Metro Bus,Number,3387510
Passenger Journeys,2023 Week 49,"Bus, excluding Dublin Metro",Number,853710
Passenger Journeys,2023 Week 49,Rail,Number,943246
Passenger Journeys,2023 Week 50,Dublin Metro Bus,Number,3521338
Passenger Journeys,2023 Week 50,"Bus, excluding Dublin Metro",Number,913884
Passenger Journeys,2023 Week 50,Rail,Number,993893
Passenger Journeys,2023 Week 51,Dublin Metro Bus,Number,3214920
Passenger Journeys,2023 Week 51,"Bus, excluding Dublin Metro",Number,744809
Passenger Journeys,2023 Week 51,Rail,Number,833724
Passenger Journeys,2023 Week 52,Dublin Metro Bus,Number,1728356
Passenger Journeys,2023 Week 52,"Bus, excluding Dublin Metro",Number,452858
Passenger Journeys,2023 Week 52,Rail,Number,380576
Passenger Journeys,2024 Week 01,Dublin Metro Bus,Number,2407676
Passenger Journeys,2024 Week 01,"Bus, excluding Dublin Metro",Number,648962
Passenger Journeys,2024 Week 01,Rail,Number,653500
Passenger Journeys,2024 Week 02,Dublin Metro Bus,Number,3046938
Passenger Journeys,2024 Week 02,"Bus, excluding Dublin Metro",Number,815591
Passenger Journeys,2024 Week 02,Rail,Number,802515
Passenger Journeys,2024 Week 03,Dublin Metro Bus,Number,3106779
Passenger Journeys,2024 Week 03,"Bus, excluding Dublin Metro",Number,833607
Passenger Journeys,2024 Week 03,Rail,Number,786188
Passenger Journeys,2024 Week 04,Dublin Metro Bus,Number,3391539
Passenger Journeys,2024 Week 04,"Bus, excluding Dublin Metro",Number,897015
Passenger Journeys,2024 Week 04,Rail,Number,868564
Passenger Journeys,2024 Week 05,Dublin Metro Bus,Number,3466312
Passenger Journeys,2024 Week 05,"Bus, excluding Dublin Metro",Number,949900
Passenger Journeys,2024 Week 05,Rail,Number,892918
Passenger Journeys,2024 Week 06,Dublin Metro Bus,Number,3233749
Passenger Journeys,2024 Week 06,"Bus, excluding Dublin Metro",Number,874465
Passenger Journeys,2024 Week 06,Rail,Number,835335
Passenger Journeys,2024 Week 07,Dublin Metro Bus,Number,3456551
Passenger Journeys,2024 Week 07,"Bus, excluding Dublin Metro",Number,932537
Passenger Journeys,2024 Week 07,Rail,Number,880567
Passenger Journeys,2024 Week 08,Dublin Metro Bus,Number,3566247
Passenger Journeys,2024 Week 08,"Bus, excluding Dublin Metro",Number,963043
Passenger Journeys,2024 Week 08,Rail,Number,964634
Passenger Journeys,2024 Week 09,Dublin Metro Bus,Number,3422941
Passenger Journeys,2024 Week 09,"Bus, excluding Dublin Metro",Number,959268
Passenger Journeys,2024 Week 09,Rail,Number,921238
Passenger Journeys,2024 Week 10,Dublin Metro Bus,Number,3524464
Passenger Journeys,2024 Week 10,"Bus, excluding Dublin Metro",Number,949923
Passenger Journeys,2024 Week 10,Rail,Number,904845
Passenger Journeys,2024 Week 11,Dublin Metro Bus,Number,3539004
Passenger Journeys,2024 Week 11,"Bus, excluding Dublin Metro",Number,968879
Passenger Journeys,2024 Week 11,Rail,Number,963335
Passenger Journeys,2024 Week 12,Dublin Metro Bus,Number,3258334
Passenger Journeys,2024 Week 12,"Bus, excluding Dublin Metro",Number,878350
Passenger Journeys,2024 Week 12,Rail,Number,857954
Passenger Journeys,2024 Week 13,Dublin Metro Bus,Number,3265310
Passenger Journeys,2024 Week 13,"Bus, excluding Dublin Metro",Number,844011
