Statistic Label,Week,Mode of Transport,UNIT,VALUE
Passenger Journeys,2019 Week 32,Rail,Number,
Passenger Journeys,2019 Week 33,Dublin Metro Bus,Number,2724875
Passenger Journeys,2019 Week 33,"Bus, excluding Dublin Metro",Number,697890
Passenger Journeys,2019 Week 33,Rail,Number,
Passenger Journeys,2019 Week 34,Dublin Metro Bus,Number,2793023
Passenger Journeys,2019 Week 34,"Bus, excluding Dublin Metro",Number,689702
Passenger Journeys,2019 Week 34,Rail,Number,
Passenger Journeys,2019 Week 35,Dublin Metro Bus,Number,2872215
Passenger Journeys,2019 Week 35,"Bus, excluding Dublin Metro",Number,695388
Passenger Journeys,2019 Week 35,Rail,Number,
Passenger Journeys,2019 Week 36,Dublin Metro Bus,Number,2999569
Passenger Journeys,2019 Week 36,"Bus, excluding Dublin Metro",Number,744038
Passenger Journeys,2019 Week 36,Rail,Number,
Passenger Journeys,2019 Week 37,Dublin Metro Bus,Number,3109763
Passenger Journeys,2019 Week 37,"Bus, excluding Dublin Metro",Number,820112
Passenger Journeys,2019 Week 37,Rail,Number,
Passenger Journeys,2019 Week 38,Dublin Metro Bus,Number,3182473
Passenger Journeys,2019 Week 38,"Bus, excluding Dublin Metro",Number,828356
Passenger Journeys,2019 Week 38,Rail,Number,
Passenger Journeys,2019 Week 39,Dublin Metro Bus,Number,3204042
Passenger Journeys,2019 Week 39,"Bus, excluding Dublin Metro",Number,814190
Passenger Journeys,2019 Week 39,Rail,Number,
Passenger Journeys,2019 Week 40,Dublin Metro Bus,Number,3139165
Passenger Journeys,2019 Week 40,"Bus, excluding Dublin Metro",Number,776594
Passenger Journeys,2019 Week 40,Rail,Number,
Passenger Journeys,2019 Week 41,Dublin Metro Bus,Number,3243670
Passenger Journeys,2019 Week 41,"Bus, excluding Dublin Metro",Number,824314
Passenger Journeys,2019 Week 41,Rail,Number,
Passenger Journeys,2019 Week 42,Dublin Metro Bus,Number,3238993
Passenger Journeys,2019 Week 42,"Bus, excluding Dublin Metro",Number,805498
Passenger Journeys,2019 Week 42,Rail,Number,
Passenger Journeys,2019 Week 43,Dublin Metro Bus,Number,3170924
Passenger Journeys,2019 Week 43,"Bus, excluding Dublin Metro",Number,824331
Passenger Journeys,2019 Week 43,Rail,Number,
Passenger Journeys,2019 Week 44,Dublin Metro Bus,Number,2708101
Passenger Journeys,2019 Week 44,"Bus, excluding Dublin Metro",Number,655906
Passenger Journeys,2019 Week 44,Rail,Number,
Passenger Journeys,2019 Week 45,Dublin Metro Bus,Number,3130443
Passenger Journeys,2019 Week 45,"Bus, excluding Dublin Metro",Number,775922
Passenger Journeys,2019 Week 45,Rail,Number,
Passenger Journeys,2019 Week 46,Dublin Metro Bus,Number,3206894
