Statistic Label,Month,Type of Vehicle Registration,Type of Fuel,UNIT,VALUE
New Vehicles Licensed for the First Time,2015 January,New Exempt Vehicles,Diesel and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,All fuel types,Number,58
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Diesel,Number,58
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,All fuel types,Number,32
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Diesel,Number,32
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Small Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,All fuel types,Number,26
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Diesel,Number,26
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Large Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Combine Harvestors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Petrol,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Diesel,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Excavators and Trench Diggers,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,All fuel types,Number,50
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Diesel,Number,50
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Machines or Contrivances,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,All fuel types,Number,10
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Petrol,Number,2
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Diesel,Number,8
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,Other Classes New Other Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,All Vehicles,All fuel types,Number,19134
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Petrol,Number,4392
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Diesel,Number,14480
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Petrol and electric hybrid,Number,168
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Electric,Number,72
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Petrol or Diesel plug-in hybrid electric,Number,7
New Vehicles Licensed for the First Time,2015 February,All Vehicles,Diesel and electric hybrid,Number,14
New Vehicles Licensed for the First Time,2015 February,New Private Cars,All fuel types,Number,15384
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Petrol,Number,4223
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Diesel,Number,10902
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Petrol and electric hybrid,Number,165
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Electric,Number,72
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Petrol or Diesel plug-in hybrid electric,Number,7
New Vehicles Licensed for the First Time,2015 February,New Private Cars,Diesel and electric hybrid,Number,14
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,All fuel types,Number,2560
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Petrol,Number,1
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Diesel,Number,2559
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Other fuel types,Number,0
