Statistic Label,Month,Type of Vehicle Registration,Type of Fuel,UNIT,VALUE
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Petrol,Number,121
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Diesel,Number,590
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Petrol and electric hybrid,Number,13
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Exempt Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,All fuel types,Number,95
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Petrol,Number,3
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Diesel,Number,91
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,All fuel types,Number,53
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Petrol,Number,3
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Diesel,Number,49
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Small Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,All fuel types,Number,42
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Diesel,Number,42
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Large Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Electric,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 March,New Combine Harvestors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Petrol,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Diesel,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Electric,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 March,New Excavators and Trench Diggers,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,All fuel types,Number,42
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Diesel,Number,42
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,New Machines or Contrivances,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,All fuel types,Number,8
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Diesel,Number,8
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 March,Other Classes New Other Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,All Vehicles,All fuel types,Number,19144
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Petrol,Number,4069
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Diesel,Number,14707
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Petrol and electric hybrid,Number,282
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Electric,Number,53
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Petrol or Diesel plug-in hybrid electric,Number,31
New Vehicles Licensed for the First Time,2016 April,All Vehicles,Diesel and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 April,New Private Cars,All fuel types,Number,14847
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Petrol,Number,3809
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Diesel,Number,10684
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Petrol and electric hybrid,Number,271
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Electric,Number,51
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Petrol or Diesel plug-in hybrid electric,Number,31
New Vehicles Licensed for the First Time,2016 April,New Private Cars,Diesel and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,All fuel types,Number,3116
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Diesel,Number,3114
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Electric,Number,2
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Goods Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,All fuel types,Number,205
New Vehicles Licensed for the First Time,2016 April,New Tractors,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,Diesel,Number,205
New Vehicles Licensed for the First Time,2016 April,New Tractors,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Tractors,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Agriculture Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 April,New General Haulage Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,All fuel types,Number,137
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Petrol,Number,137
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Diesel,Number,0
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Motor Cycles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,All fuel types,Number,636
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Petrol,Number,119
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Diesel,Number,507
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Petrol and electric hybrid,Number,10
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Exempt Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,All fuel types,Number,133
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Petrol,Number,4
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Diesel,Number,128
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,All fuel types,Number,53
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Petrol,Number,4
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Diesel,Number,48
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Small Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,All fuel types,Number,80
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Diesel,Number,80
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Large Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Combine Harvestors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Petrol,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Diesel,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 April,New Excavators and Trench Diggers,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,All fuel types,Number,42
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Diesel,Number,41
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,New Machines or Contrivances,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,All fuel types,Number,28
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Diesel,Number,28
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 April,Other Classes New Other Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,All Vehicles,All fuel types,Number,13668
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Petrol,Number,2876
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Diesel,Number,10618
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Petrol and electric hybrid,Number,127
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Electric,Number,26
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Petrol or Diesel plug-in hybrid electric,Number,21
New Vehicles Licensed for the First Time,2016 May,All Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Private Cars,All fuel types,Number,10125
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Petrol,Number,2649
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Diesel,Number,7315
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Petrol and electric hybrid,Number,117
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Electric,Number,23
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Petrol or Diesel plug-in hybrid electric,Number,21
New Vehicles Licensed for the First Time,2016 May,New Private Cars,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,All fuel types,Number,2531
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Diesel,Number,2530
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Electric,Number,1
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Goods Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,All fuel types,Number,224
New Vehicles Licensed for the First Time,2016 May,New Tractors,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,Diesel,Number,224
New Vehicles Licensed for the First Time,2016 May,New Tractors,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Tractors,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Agriculture Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 May,New General Haulage Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,All fuel types,Number,159
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Petrol,Number,158
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Diesel,Number,0
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Electric,Number,1
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Motor Cycles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,All fuel types,Number,448
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Petrol,Number,68
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Diesel,Number,370
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Petrol and electric hybrid,Number,9
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Electric,Number,1
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Exempt Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,All fuel types,Number,120
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Petrol,Number,1
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Diesel,Number,118
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,All fuel types,Number,49
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Petrol,Number,1
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Diesel,Number,47
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Petrol and electric hybrid,Number,1
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Small Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,All fuel types,Number,71
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Diesel,Number,71
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Large Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Petrol,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Diesel,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Combine Harvestors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,All fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Petrol,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Diesel,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Other fuel types,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2016 May,New Excavators and Trench Diggers,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,All fuel types,Number,38
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Diesel,Number,38
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,New Machines or Contrivances,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,All fuel types,Number,23
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Diesel,Number,23
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2016 May,Other Classes New Other Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2016 June,All Vehicles,All fuel types,Number,7018
New Vehicles Licensed for the First Time,2016 June,All Vehicles,Petrol,Number,1380
New Vehicles Licensed for the First Time,2016 June,All Vehicles,Diesel,Number,5558
New Vehicles Licensed for the First Time,2016 June,All Vehicles,Other fuel types,Number,0
